employees_per_charger\company_charger_cost_per_kWh,0.08,0.09,0.09999999999999999,0.10999999999999999,0.11999999999999998,0.12999999999999998,0.13999999999999996,0.14999999999999997,0.15999999999999998,0.16999999999999996,0.17999999999999994,0.18999999999999995,0.19999999999999996,0.20999999999999996,0.21999999999999992,0.22999999999999993
1,111.5315085758455,125.208461696131,143.06331352538547,155.18650780592623,168.5128927152139,186.91621160128045,199.37379251830995,217.86836519331243,225.62315992981434,247.94761867328856,262.8265269487718,267.9654912143513,282.87749631780264,27.887515476688336,26.245196998591652,24.414256943665052
7,759.3229415782307,845.7784431459842,963.2284608424783,1052.1117862262968,1114.4260424101465,1253.6367368065921,1385.4542111250776,1413.7948109704366,1521.2775659544513,1639.8936893835416,1750.752819186221,1838.6953058898503,1909.043327702453,162.2990590273414,171.25466861264647,158.46055808480466
13,1466.8198312557884,1575.3573285881062,1750.5483456252625,1930.5181914274206,2158.9646997451673,2309.16076982757,2450.5591226054803,2610.2061605716863,2768.8182653752997,3058.189192085918,3204.9692982449264,3386.1178864889416,3582.606066601494,272.1434932286375,349.45473181959403,314.65075477314474
19,2047.0104525803981,2216.2223638716737,2529.686274866711,2783.8162777892585,3013.438561065411,3317.490314253429,3565.348176436464,3787.606454975087,4107.09664473314,4353.998114124198,4499.208026467175,4799.591963288137,4998.422247798963,445.2889943630393,411.17914627600607,461.6534275564654
25,2405.9564192340213,2767.042196963584,3086.8873310550525,3273.3037275582187,3613.139483648111,4028.1388169629545,4263.5417737575,4531.394374150729,4864.9604477829,5173.269432543764,5384.497529862666,5732.411797831888,6104.583700528098,468.24970746847015,571.596782034962,574.6477662574919
31,2767.947938803547,3033.729612422953,3420.6632419400817,3657.9601837991236,4141.334893216395,4469.319192211399,4750.554658658667,5128.229090815334,5430.975149848582,5824.881994683337,6016.775887619876,6395.958688990656,6847.646236301998,589.6327161529912,674.608752815035,629.4918260330784
37,2954.3855087098086,3352.7338290153466,3640.8229699851977,4004.167673554889,4559.862302066137,4827.05681592438,5161.040468866201,5514.0899083440745,5939.229696459781,6292.111932150232,6478.364213364315,7003.000298678001,7456.875154996222,741.1354660135052,774.3454236953644,863.9200905322475
43,3074.1819010103177,3519.789634997137,3902.4440908599518,4210.000170315462,4717.83942720192,5040.419121745211,5216.6708075121505,5785.906156634191,6135.052603647922,6596.018668489113,6910.827361067848,7421.992905005139,7747.114701832822,921.7689312101922,906.3959689094359,946.3101728160311
49,3167.7992592186442,3564.2002279889184,4040.477297793763,4324.46921660797,4873.710310996996,5372.400770477565,5634.496641621137,6026.8591017554,6448.863753194204,6918.539990852407,7231.418189129563,7718.549311154901,8011.576707266617,918.0051134819638,1102.2142824519747,1004.2437607612667
55,3428.102009039423,3689.9664555137424,4071.2869181060387,4590.39629876866,5001.850889935705,5516.049504627352,5858.044387505616,6357.001196386197,6610.543247864709,7192.0856224007985,7612.540135825039,7968.805305563431,8415.639675253433,959.9818102828561,1093.3458458916955,1102.0998110189464
61,3449.000677078483,3823.357790877117,4332.244095395092,4763.216284512053,5218.442796206787,5671.578757386554,6028.113464920879,6485.899691280377,6948.978107084492,7326.0734528035155,7864.461705703399,8025.972791707843,8753.907500845802,1193.0364962412361,1219.2180053580687,1197.3885107661874
67,3559.262178028166,4040.21337440346,4415.510081038121,4809.216844370994,5308.3291019546205,5936.321210547344,6194.889336214574,6795.302883687163,7177.299017596381,7582.676304982672,8102.363552520351,8461.656269847284,8717.235305428925,1145.4131702486834,1156.0448846093857,1266.809758557675
73,3577.8685756557597,4062.73203943909,4480.067775253042,5022.9527530744435,5310.620234862365,5930.814605433126,6405.9285420573,6949.562893316211,7346.808859885033,7786.914821898961,7950.851051517312,8670.123047442587,8883.112475292615,1283.0752525898488,1217.367711208477,1277.4210137651403
79,3706.5492208432506,4189.020572227595,4610.818391516796,5107.62221067287,5508.951027618139,5940.683068186828,6499.320549612634,6863.814270908678,7462.131530408649,7668.056392238099,8367.331557932399,8743.283722589655,9175.663169433039,1364.5485060134208,1506.1386442352825,1484.6621534243975
85,3699.7010772315766,4122.4438012147175,4676.8865617931015,5103.565791652439,5541.963120386687,6128.415721387574,6587.3645787579935,6926.918831332303,7440.8421864067905,7929.484385035008,8503.381119248337,8926.222967864385,9239.029226632667,1522.722284550659,1405.9609285316985,1639.3854925417218
91,3794.427512387661,4248.813677747647,4773.085943029837,5201.58741354023,5562.921250073123,6035.417780499967,6486.040113779111,7274.050166328924,7492.6578686582025,8114.620709474922,8456.440322903632,8944.179386688162,9242.340553438831,1397.5278750183124,1515.3596550452064,1592.5051217560272
