# Percentile 10, Percentile 50, Percentile 90
0.164,0.485,0.858
0.158,0.452,0.748
0.154,0.419,0.694
0.152,0.397,0.672
0.152,0.393,0.684
0.158,0.45,0.824
0.174,0.577,1.128
0.184,0.642,1.254
0.182,0.621,1.214
0.178,0.597,1.188
0.178,0.58,1.125
0.178,0.58,1.118
0.18,0.58,1.104
0.18,0.579,1.102
0.18,0.579,1.09
0.182,0.61,1.156
0.194,0.688,1.364
0.214,0.817,1.67
0.24,0.933,1.844
0.27,0.978,1.852
0.286,0.964,1.764
0.258,0.884,1.606
0.208,0.725,1.378
0.176,0.572,1.082
