#PersonPerHousehold,SpringInkWh/Season,SummerInkWh/Season,AutumnInkWh/Season,WinterInkWh/Season
1,1604,1861,1710,1988
2,1961,2221,2050,2370
3,2102,2365,2226,2645
4,2221,2494,2375,2768
5,2349,2610,2481,2941
