#MeshBlock,PostCode
20393726000,3000
20393730000,3000
20393750000,3000
20393760000,3000
20393780000,3000
20393800000,3000
20393810000,3000
20393830000,3000
20393841000,3000
20393842000,3000
20393843000,3000
20393850000,3000
20393861000,3000
20393862000,3000
20393870000,3000
20393880000,3000
20398651000,3000
20396290000,3000
20396770000,3000
20396801000,3000
20396802000,3000
20396880000,3000
20397200000,3000
20395892000,3000
20395891000,3000
20664260000,3000
20632000150,3000
20631956880,3000
20631956860,3000
20631997100,3000
20631995070,3000
20397610000,3000
20397620000,3000
20397810000,3000
20397820000,3000
20631939320,3000
20393890000,3000
20393901000,3000
20393902000,3000
20393920000,3000
20393931000,3000
20393932000,3000
20393950000,3000
20631939330,3000
20664830000,3000
20393990000,3000
20394130000,3000
20394460000,3000
20664841000,3000
20393960000,3000
20394123000,3000
20393971000,3000
20394240000,3000
20664842000,3000
20664851000,3000
20398201000,3000
20398202000,3000
20398203000,3000
20394122000,3000
20398380000,3000
20664550000,3000
20398390000,3000
20394121000,3000
20394280000,3000
20394110000,3000
20631945420,3000
20664852000,3000
20631945350,3000
20631945340,3000
20664861000,3000
20631945320,3000
20664862000,3000
20631945310,3000
20631935000,3000
20394190000,3000
20664863000,3000
20394310000,3000
20631902980,3000
20664541000,3000
20664250000,3000
20664240000,3000
20664520000,3000
20664510000,3000
20664500000,3000
20664490000,3000
20664480000,3000
20664470000,3000
20664460000,3000
20664450000,3000
20664440000,3000
20664430000,3000
20664420000,3000
20664410000,3000
20664400000,3000
20664390000,3000
20664380000,3000
20664370000,3000
20664360000,3000
20664350000,3000
20664340000,3000
20664330000,3000
20398981000,3000
20394330000,3000
20394410000,3000
20664870000,3000
20394420000,3000
20394100000,3000
20394090000,3000
20394230000,3000
20664230000,3000
20664210000,3000
20394180000,3000
20394080000,3000
20394060000,3000
20631901960,3000
20631901950,3000
20394430000,3000
20394050000,3000
20394040000,3000
20394030000,3000
20394020000,3000
20394010000,3000
20398982000,3000
20394000000,3000
20664542000,3000
20393723000,3000
20393724000,3000
20393725000,3000
20393972000,3000
20664320000,3000
20399000000,3000
20631944140,3000
20664310000,3000
20664300000,3000
20664290000,3000
20393722000,3000
20393721000,3000
20399010000,3000
20664881000,3000
20393700000,3000
20394470000,3000
20394500000,3000
20394510000,3000
20393690000,3000
20631901200,3000
20393680000,3000
20393670000,3000
20393630000,3000
20393590000,3000
20393582000,3000
20664882000,3000
20664901000,3000
20664902000,3000
20631989280,3000
20631900940,3000
20631900930,3000
20664910000,3000
20631988570,3000
20664921000,3000
20664922000,3000
20631917160,3000
20393581000,3000
20631900830,3000
20393550000,3000
20393540000,3000
20393530000,3000
20393520000,3000
20393510000,3000
20394520000,3000
20631944130,3000
20664200000,3000
20664190000,3000
20631941900,3000
20664282000,3000
20664281000,3000
20664270000,3000
20631923850,3000
20631983170,3000
20399850000,3000
20664560000,3000
20664570000,3000
20664580000,3000
20664600000,3000
20664610000,3000
20664630000,3000
20401553000,3000
20664640000,3000
20664650000,3000
20664680000,3000
20664690000,3000
20664700000,3000
20664711000,3000
20664712000,3000
20664713000,3000
20664720000,3000
20664731000,3000
20631899960,3000
20664740000,3000
20664761000,3000
20664762000,3000
20664770000,3000
20664780000,3000
20664790000,3000
20664801000,3000
20664802000,3000
20664810000,3000
20664820000,3000
20394531000,3000
20394532000,3000
20394540000,3000
20393500000,3000
20393470000,3000
20394560000,3000
20393460000,3000
20393450000,3000
20393420000,3000
20393410000,3000
20394570000,3000
20393360000,3000
20393350000,3000
20393320000,3000
20393300000,3000
