# Percentile 10, Percentile 50, Percentile 90
0.17,0.497,0.854
0.164,0.459,0.748
0.162,0.429,0.698
0.16,0.399,0.664
0.16,0.392,0.668
0.164,0.438,0.778
0.176,0.555,1.074
0.19,0.648,1.28
0.188,0.644,1.266
0.186,0.611,1.202
0.184,0.597,1.16
0.186,0.597,1.154
0.186,0.609,1.172
0.186,0.618,1.182
0.184,0.625,1.202
0.186,0.653,1.268
0.2,0.741,1.49
0.23,0.907,1.856
0.278,1.035,2.053
0.304,1.028,1.956
0.31,0.982,1.806
0.278,0.896,1.634
0.222,0.743,1.384
0.186,0.587,1.084
