#PersonPerHousehold,SpringInkWh/Season,SummerInkWh/Season,AutumnInkWh/Season,WinterInkWh/Season
1,2295,1267,1946,3571
2,2732,1615,2353,4031
3,2980,1911,2608,4369
4,2980,1911,2608,4369
5,3470,2259,3152,5006
