#StatisticalArea,PV_denisty,Avg_pv_capacity
"20604,0.09024239617106686,3.2523524379811803"
"20605,0.09593926733581291,3.538502389803505"
"21303,0.11850374440221277,3.5138139091775167"
"21302,0.15810519840049217,3.4559603820304208"
"21301,0.17858204202929315,3.6280755972899086"
"21304,0.25219175526953924,4.123126232741617"
"21305,0.30633279447982553,4.464388170710111"
"20603,0.1328793595288488,3.6925207756232687"
"21001,0.12853869752630967,3.789728096676737"
"21005,0.2548084042185623,4.658746045070059"
"21003,0.10810385027411935,3.5549402506557857"
"20607,0.10205682412410667,3.2672929120409906"
"20601,0.1313438632832729,3.4743716116313457"
"20602,0.16675809105869446,3.521232057416268"
"20902,0.11611173065689555,3.506288589069289"
"20904,0.22200495372180942,4.284475360224039"
"20901,0.14313058273075288,3.7560178306092125"
"20903,0.22574356410897276,4.096545615589017"
"20701,0.12283557527189468,3.9860200961118393"
"20702,0.15059181999296847,4.094357976653696"
"21102,0.21791550418493424,4.068587105624142"
"21105,0.20719392527068373,3.8837031369548582"
"20703,0.1387784688771454,3.657792754844145"
"21104,0.16444181925575901,3.7562260536398466"
"21103,0.15742493913984312,3.7786629178381754"
"20606,0.07236105930622902,3.9030927835051545"
"20804,0.11109171830002618,3.9379418695993715"
"21205,0.1721697743960672,3.897881240338274"
"21101,0.21902760091440496,3.839520874194452"
"20802,0.11708282582216809,3.859372097343489"
"21204,0.1790900150410737,4.065331502866834"
"21202,0.27120962853926744,4.084668922801865"
"20801,0.12219064161271646,4.0553521430109845"
"20803,0.17096920289855072,3.813774834437086"
"21401,0.17561238223418574,3.680155323932148"
"21004,0.2584895765045234,4.183616535632767"
"21002,0.2963662412086481,4.27708196000879"
"21201,0.256013855924049,4.31245301929341"
"21402,0.18905068365511712,3.939423462662617"
"21203,0.3543950759761493,4.621935775667119"
