time_step,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public
10075,0,142.05072382527229,0,0.5585334673084681
10080,0,142.92693573438814,0,4.911287819395036
10085,0,143.29351048281322,0,0
10090,0,146.8780168116496,0,0
10095,0,152.10103161225712,0,1.7202630163200716
10100,0,154.03868684928267,0,0
10105,0,154.23714444323545,0,6.522054961472596
10110,0,153.48048587672787,0,8.333333333333332
10115,0,153.32071834161587,0,4.92877174240836
10120,0,155.9999999999997,0,1.202303174935702
10125,0,155.71599999999742,0,0
10130,0,151.99999999999991,0,0
10135,0,158.19999999999956,0,0
10140,0,161.59999999999937,0,0
10145,0,165.58066794461683,0,0
10150,0,171.6951280628713,0,0
10155,0,177.77895075020677,0,0
10160,0,183.7999999999981,0,0
10165,0,194.19999999999752,0,0
10170,0,198.99999999999724,0,0
10175,0,206.9999999999968,0,0
10180,0,215.99999999999628,0,0
10185,0,223.37599999999583,0,0
10190,0,230.99999999999542,0,0
10195,0,240.59999999999488,0,0
10200,0,250.39999999999432,0,0
10205,0,258.5999999999939,0,0
10210,0,266.7999999999934,0,0
10215,0,277.7999999999928,0,0
10220,0,285.39999999999236,0,0
10225,0,297.1999999999917,0,0
10230,0,305.2218144644734,0,0
10235,0,314.8834117060071,0,0
10240,0,326.9949394540327,0,0
10245,0,337.97905278071886,0,0
10250,0,349.2280123315077,0,0
10255,0,358.85022403578904,0,0
10260,0,366.89171598354255,0,0
10265,0,377.4950459603382,0,0
10270,0,389.20598734610724,0,0
10275,0,401.0995597728686,0,0
10280,0,414.13180187310655,0,0
10285,0,427.2644462929492,0,0
10290,0,440.37955898758014,0,0
10295,0,452.2780544160324,0,0
10300,0,471.12449719171764,0,0
10305,0,481.17459309129083,0,0
10310,0,496.10084787614966,0,0
10315,0,514.049379309176,0,0
10320,0,525.4677479632763,0,9.59590272918068
10325,0,538.7586884696206,0,5.060264321710568
10330,0,550.2359660448491,0,4.953407501367641
10335,0,565.7457545891789,0,18.727926157286355
10340,0,577.9256440865638,0,8.883304949954615
10345,0,593.2219081260633,0,4.017858505565908
10350,0,602.3873792807588,0,0
10355,0,612.6757536937968,0,0
10360,0,628.9534539464216,0,4.166666666666666
10365,0,639.1116710567335,0,4.166666666666666
10370,0,654.288918899621,0,0.4203930710847672
10375,0,672.5376319862885,0,0
10380,0,684.7785347549233,0,27.236527590499506
10385,0,690.7740726585789,0,7.846558258812104
10390,0,703.6304737116118,0,3.2030315108134673
10395,0,716.6621032533856,0,6.4808717300895005
10400,0,723.5656203422432,0,11.900996366140792
10405,0,731.8831919565082,0,0.7332610296485402
10410,0,741.4111360338535,0,8.333333333333332
10415,0,746.485269085625,0,10.635173153160455
10420,0,759.3690221081279,0,5.172951945891361
10425,0,761.4254941281728,0,0.008185892863883382
10430,0,764.1828380313524,0,0
10435,0,779.4726541721168,0,0
10440,0,789.6684544488967,0,2.9676622962480916
10445,0,788.0197556509377,0,1.4375711063902443
10450,0,796.7775700320351,0,4.166666666666666
10455,0,803.343656762705,0,2.5334651333295017
10460,0,799.8416350945118,0,0
10465,0,790.4262211299097,0,3.257580603034045
10470,0,785.4146969566127,0,0
10475,0,784.557648276414,0,0
10480,0,798.2435286655202,0,0
10485,0,776.2751748295484,0,4.166666666666666
10490,0.000482628537065884,749.2507574969218,0,3.0434150265473825
10495,0,765.4690554221976,0,0
10500,0.00822313200531607,763.5733720674683,0,0.110484629808969
10505,0.0029892491400657713,749.4133512515202,0,0
10510,0.01049863214174108,741.5422188237403,0,2.0104846298089676
10515,0.009992476421397917,736.080195216813,0,0
10520,0.010430820235849432,720.2674141934737,0,0
10525,0.04570460930263685,697.2803975575989,0,0
10530,0.033047107465328594,683.4469087909838,0,4.166666666666666
10535,0.10081702755099732,666.0416784985573,0,2.71989753203815
10540,0.06945021327163187,666.6713539877436,0,0
10545,0.15514339128040486,617.6084478380574,0,0
10550,0.23898712265496275,556.6111796149977,0,0
10555,0.7821949445661968,556.2979405409915,0,0
10560,1.3430627595760585,546.7265089346674,0,2.844000000000001
10565,2.184239254414946,525.7251663916841,0,2.1886345067466877
10570,3.2281809761179048,507.75844090887267,0,0
10575,4.27093293028819,495.11169895236543,0,0
10580,4.901976731838768,462.0516210164343,0,0
10585,6.966178603758567,423.4714765731252,0,0
10590,8.07066069776185,398.8464774460772,0,0
10595,9.423778655055917,366.9913577421795,0,0
10600,11.93031553599905,354.97965546608714,0,0
10605,13.042671571450125,294.66530482592196,0,0
10610,11.090528902430684,225.56761112189673,0,0
10615,10.217008268909874,232.54139409403126,0,0
10620,13.865300987957085,233.3458558189531,0,6.885355811368036
10625,15.418404336113543,232.75336837664798,0,1.8196880107459847
10630,15.44434441664974,234.04945422333623,0,0
10635,16.37172247838166,238.34080018282816,0,0
10640,16.238159145891604,241.01523348135458,0,0
10645,20.652862974364872,238.4682714420577,0,0
10650,19.76627321811349,240.83926525414896,0,6.885355811368038
10655,21.257631157959942,240.27308055924053,0,0
10660,20.62023622851338,245.24154728951515,0,0
10665,20.94458832499084,241.4637775319005,0,0
10670,23.486181736436873,234.81447424460202,0,0
10675,24.96832020157513,237.90900371326498,0,0
10680,23.711163815445992,242.68710007389151,0,8.958999544408828
10685,23.193899772387695,242.9080465993934,0,0.7670288274164694
10690,26.31852109761172,240.48852870893495,0,1.1427348281527365
10695,27.377605516469394,243.56219582373993,0,0
10700,30.6898553526975,239.72363055341734,0,0
10705,29.60283965606643,237.07600431922137,0,0
10710,31.847860491078784,234.07395779289226,0,0
10715,30.303832794063606,239.03688305025983,0,0
10720,31.49121415025073,243.1193100045334,0,4.166666666666666
10725,34.68115511826948,235.6468448817225,0,8.333333333333332
10730,32.147104814992694,233.46594216134332,0,3.207293543672561
10735,32.72543663875686,238.99537414072498,0,0
10740,35.027899258171416,242.99305683946807,0,1.8055688675879775
10745,31.651849946152794,253.0779980119164,0,0
10750,31.70350197353418,256.45072988181727,0,0.7135688675879788
10755,37.15478995992416,256.96270326485836,0,0
10760,33.44518011779134,264.6939661981007,0,4.166666666666666
10765,32.835733697978576,269.5754700769986,0,0.5040675388015732
10770,28.866650917581577,276.3089007510877,0,3.552713678800501e-15
10775,30.852182245367764,280.20050097121,0,0
10780,34.52753594246356,282.03853640853623,0,0
10785,32.82957206653287,285.9250478518392,0,0
10790,30.611754865333204,286.10520953241115,0,0
10795,30.38925436583741,289.43975591106835,0,0
10800,31.464643784288388,287.9432195688275,0,318.3390242762535
10805,30.38182520584846,279.82196612869245,0,138.10433052774783
10810,32.299259326008645,276.6632690442066,0,79.75940560308068
10815,30.14900011597965,280.69078011050794,0,96.72021233289419
10820,27.09654790436044,272.1992859158666,0,69.97339717084483
10825,28.36494412833287,258.13393161979076,0,100.94350836577836
10830,28.312391626043194,251.64761804872788,0,101.35563477594486
10835,25.74815346099235,242.86263755923417,0,51.33932807055555
10840,27.50678473635552,238.93516504131225,0,67.15804799050052
10845,22.736465914940492,217.45321842262487,0,62.849782378865086
10850,18.688947962465416,189.46044837275568,0,57.37136259806691
10855,20.1299254180725,189.1497914075906,0,45.24906503315412
10860,17.137388597014688,187.3448024266137,0,64.69633353193663
10865,15.81225270525319,172.63723836866208,0,45.627770180143855
10870,16.949228310759107,164.3338572940626,0,26.569468729977707
10875,14.986613971035565,159.0472422979581,0,16.927306650531712
10880,12.546096694005456,146.21807325419553,0,22.458737638455048
10885,9.70717107665138,131.80304073457577,0,18.7343002589864
10890,9.613701712140918,118.67866187949254,0,17.3660743236019
10895,10.1698638351393,102.43623321037914,0,16.666666666666664
10900,9.301127541091525,98.30339005816248,0,14.129384366477657
10905,6.623150325842839,71.76217655990075,0,4.16666666666667
10910,3.292829758315822,42.39657134001614,0,4.166666666666666
10915,4.868775683403158,40.61479381969828,0,19.43110950080823
10920,4.567574411798999,41.053063535577216,0,30.000588192073607
10925,4.336174650840143,39.7359250490382,0,23.121333333333325
10930,5.074926595736014,37.59545699717315,0,14.903780755902288
10935,5.331293978499882,36.83177767159472,0,9.339243337382394
10940,4.134927602681503,35.062218612198485,0,8.333333333333336
10945,3.869170305559461,32.19143598406386,0,6.473311831231733
10950,3.112280298835167,30.893145693862966,0,8.333333333333332
10955,2.0099957372688566,29.856773985766562,0,3.531317184630396
10960,1.8635044176322009,28.736495582367738,0,0
10965,1.7472196974626997,21.612780302534432,0,4.166666666666666
10970,0.5967193134740012,15.603280686525977,0,4.166666666666666
10975,1.4946550085173766,15.3053449914826,0,2.9107585789752886
10980,0.7404556236970571,16.937914472582765,0,88.57216129895605
10985,1.130180105161239,16.869819894838734,0,38.45310828559464
10990,1.3521730582148315,16.84042675973649,0,37.47804578064586
10995,0.9055605078897516,17.39540326536024,0,76.40814187213763
11000,1.0321856259888276,17.167814374011147,0,35.11484394371429
11005,1.4079854588348175,18.188612106688232,0,37.490909941889214
11010,1.210763042746478,19.072204809967346,0,37.663392605299045
11015,0.9336607077378185,20.066339292262143,0,20.488931864703137
11020,1.264246893776139,20.836346362586227,0,14.754792574718062
11025,0.8719714358245468,21.221505234784715,0,17.476876915398996
11030,1.1717304316629955,20.226128330960144,0,12.683432893223957
11035,0.9080139824221829,21.691986017577772,0,6.325158451155032
11040,0.5804600770879965,21.554154142334912,0,256.75351423527826
11045,0.31974994996699596,21.72643337751911,0,130.41258393003875
11050,0.575104386226228,21.962466912310553,0,111.58526678335404
11055,0.4196650888801123,22.380334911119846,0,116.79830102317585
11060,0.43211612389966236,22.326638032022586,0,71.8307070691485
11065,0.33179544701843705,22.28413509191161,0,68.95511923720326
11070,0.1695114509283333,22.2906755248342,0,61.966028654587184
11075,0.1296099654757847,22.228384099839054,0,46.99325463953747
11080,0.04971139992880824,22.33149267946708,0,69.60163836607386
