Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA3 by STRD Dwelling Structure"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"STRD Dwelling Structure","Flat or apartment in a one or two storey block","Flat or apartment in a three storey block","Flat or apartment in a four or more storey block","Flat or apartment attached to a house","Total",
"SA3",
"20601",4443,1576,4550,16,10584,
"20602",4193,741,918,7,5864,
"20603",4046,3763,3268,5,11077,
"20604",2256,6285,55157,25,63726,
"20605",8817,13945,16195,64,39027,
"20606",4249,8752,10363,18,23386,
"20607",4627,5522,10789,12,20949,
"20701",6908,5440,4269,0,16619,
"20702",1213,651,1477,0,3342,
"20703",2185,1593,1286,15,5064,
"20801",2769,1466,1640,4,5877,
"20802",11532,2871,1297,21,15724,
"20803",7074,896,877,14,8859,
"20804",3137,1622,718,0,5482,
"20901",2672,327,538,5,3547,
"20902",1784,918,1349,3,4048,
"20903",583,20,0,5,608,
"20904",1717,577,368,5,2668,
"21001",218,20,69,10,310,
"21002",88,0,3,0,93,
"21003",1474,238,107,25,1841,
"21004",1000,0,0,0,1002,
"21005",1311,3,163,8,1487,
"21101",1109,310,188,7,1614,
"21102",129,0,4,9,131,
"21103",578,456,191,0,1225,
"21104",322,103,301,10,728,
"21105",244,86,5,5,347,
"21201",183,0,0,4,188,
"21202",613,3,9,5,621,
"21203",547,50,13,4,607,
"21204",5522,760,437,20,6749,
"21205",6110,1148,1319,7,8591,
"21301",2963,172,146,68,3344,
"21302",2188,255,384,0,2823,
"21303",3952,1897,2956,39,8852,
"21304",389,67,140,9,601,
"21305",1724,48,143,4,1919,
"21401",1720,181,124,7,2034,
"21402",3441,169,21,8,3634,
"Total",110010,62934,121803,461,295208,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
