Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (POW) by SA3 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SA3 (UR)","Brunswick - Coburg","Darebin - South","Essendon","Melbourne City","Port Phillip","Stonnington - West","Yarra","Boroondara","Manningham - West","Whitehorse - West","Bayside","Glen Eira","Kingston","Stonnington - East","Banyule","Darebin - North","Nillumbik - Kinglake","Whittlesea - Wallan","Keilor","Macedon Ranges","Moreland - North","Sunbury","Tullamarine - Broadmeadows","Knox","Manningham - East","Maroondah","Whitehorse - East","Yarra Ranges","Cardinia","Casey - North","Casey - South","Dandenong","Monash","Brimbank","Hobsons Bay","Maribyrnong","Melton - Bacchus Marsh","Wyndham","Frankston","Mornington Peninsula","Total",
"SA3 (POW)",
"Brunswick - Coburg",7008,812,812,653,262,155,671,458,411,185,88,184,58,51,762,1408,261,1567,589,83,1952,225,1565,108,54,149,83,101,34,58,73,124,151,836,236,524,496,433,59,52,23775,
"Darebin - South",674,3807,208,290,129,58,585,469,365,157,52,106,55,43,1084,1597,355,1301,136,32,337,50,378,128,69,152,100,128,19,39,47,96,113,279,72,164,125,163,34,45,14037,
"Essendon",1039,193,5503,567,195,74,210,229,108,66,70,112,54,45,299,429,100,670,2042,178,1083,372,1416,43,15,64,55,57,27,42,54,92,101,1475,391,987,901,646,24,31,20065,
"Melbourne City",17903,9234,11931,39686,20325,12941,20076,22659,7931,9318,10504,17681,8599,5707,11779,9497,4480,11797,5958,1728,8205,2554,8410,7191,1756,6575,5075,4542,2110,4496,5126,7327,13183,13319,9836,13554,9704,19898,3478,2485,408558,
"Port Phillip",2144,1149,1647,4286,14746,3156,2655,3180,1159,1356,3525,5764,2496,1268,1551,1321,657,1942,976,322,1261,447,1524,1556,264,984,693,806,461,995,1147,1837,2790,2794,2598,2503,2333,5077,1008,774,87164,
"Stonnington - West",596,428,353,1405,2405,6965,1435,2116,447,652,1184,2756,808,1269,470,412,191,426,176,48,259,55,289,576,89,342,305,291,202,437,460,834,1358,462,393,575,290,668,378,255,33057,
"Yarra",3683,3331,1544,4028,3167,2808,12461,5848,1774,1881,1353,2615,1120,963,2866,2823,1015,2892,751,184,1288,323,1284,1326,431,1360,874,991,349,744,771,1177,2045,1831,1209,1963,1115,2188,587,453,79436,
"Boroondara",1005,1033,501,1471,1408,1475,2323,21594,2699,4651,973,2369,921,1407,2387,1015,987,1475,273,74,455,95,472,2378,640,2127,1648,1669,416,900,866,1265,3134,595,514,645,388,914,568,505,70224,
"Manningham - West",204,243,80,199,103,97,264,1328,8723,1320,64,169,120,81,1504,462,1086,1011,44,20,152,17,174,766,1127,1277,796,740,83,196,153,290,513,129,55,75,69,97,131,110,24084,
"Whitehorse - West",374,407,190,607,473,354,667,3398,2583,10369,368,1049,528,379,1214,464,759,868,77,23,197,55,206,3311,702,3129,2810,2317,419,846,861,1228,2879,225,159,231,146,362,511,329,46061,
"Bayside",94,64,91,312,1214,429,194,446,84,189,11950,2821,3714,261,95,82,46,101,41,0,62,19,70,347,23,127,81,118,191,421,703,1660,870,162,119,119,61,159,1234,492,29255,
"Glen Eira",217,137,125,454,1691,772,414,916,217,505,2296,15519,2427,788,203,146,70,197,80,16,116,26,111,777,47,274,247,254,296,751,962,2427,2323,254,164,247,129,351,891,372,38210,
"Kingston",143,86,73,330,1129,489,278,757,313,573,4484,4295,17408,394,192,143,113,253,78,30,99,43,134,1578,96,537,386,620,991,2460,4193,7951,2686,205,179,178,142,360,5799,2112,62310,
"Stonnington - East",162,122,100,311,660,800,353,1733,297,712,588,2234,702,3555,182,130,90,192,39,16,59,38,79,849,60,314,278,276,242,579,584,1132,2258,167,139,142,86,210,327,197,20995,
"Banyule",698,1063,256,368,226,154,771,1320,1418,645,66,201,112,110,14472,2073,3900,6005,245,57,519,125,951,378,272,565,281,396,51,90,107,182,324,408,118,174,242,241,77,105,39768,
"Darebin - North",1181,1332,402,371,221,127,630,760,781,323,77,190,97,60,3505,7993,1213,6460,333,100,1004,176,1676,231,109,274,131,191,48,108,83,153,246,775,166,304,475,404,65,60,32830,
"Nillumbik - Kinglake",94,102,22,37,20,8,74,127,319,99,10,15,20,10,1786,215,7786,1826,31,15,58,19,176,82,124,156,55,252,19,27,31,26,42,58,13,16,47,17,18,20,13848,
"Whittlesea - Wallan",679,690,419,282,181,84,403,544,682,239,56,141,78,45,3660,2989,2907,28612,452,270,1025,389,3962,187,147,243,127,250,64,94,123,167,201,1441,214,356,786,584,77,68,53920,
"Keilor",889,197,1873,347,277,104,224,251,235,92,101,173,94,56,602,619,418,2050,5244,634,1436,1407,4003,136,43,114,61,91,40,75,105,123,144,3793,514,720,2932,1615,63,59,31962,
"Macedon Ranges",33,7,38,20,5,3,12,19,9,3,3,0,4,0,14,8,4,69,41,4400,31,674,57,3,0,0,0,4,0,4,3,3,10,109,16,22,345,45,0,5,6042,
"Moreland - North",914,199,445,132,71,32,107,143,187,60,25,46,21,11,417,752,162,1455,426,76,4441,191,2189,37,27,64,27,17,8,16,10,58,60,582,99,176,387,242,23,18,14342,
"Sunbury",59,13,100,25,19,9,15,8,9,0,0,5,5,0,36,38,18,119,111,758,70,4987,211,9,3,0,0,4,8,0,6,9,0,261,21,63,473,71,4,0,7551,
"Tullamarine - Broadmeadows",1683,569,1763,857,582,234,482,662,630,280,260,319,208,101,2086,2241,1536,11289,2333,1271,3675,2506,23752,287,135,265,140,291,90,152,192,228,330,4479,784,1085,3236,2173,120,142,73456,
"Knox",174,150,89,253,312,244,320,1092,871,1404,326,653,804,231,435,181,439,414,67,22,85,29,153,22893,583,5503,1751,8060,1917,2772,2876,2573,3037,167,95,124,113,205,1201,668,63282,
"Manningham - East",10,21,9,16,10,3,21,87,267,150,7,11,6,5,108,18,280,83,3,0,13,0,14,150,2008,529,161,348,9,24,37,39,70,8,5,9,4,10,7,18,4569,
"Maroondah",124,144,71,176,127,94,262,786,911,1157,112,195,252,85,470,165,661,382,38,12,52,11,81,4717,1252,14429,1568,8866,541,707,779,695,946,83,28,65,55,104,390,243,41828,
"Whitehorse - East",110,113,50,173,141,90,185,787,1022,1926,103,259,209,92,376,127,303,272,29,3,46,16,89,2468,571,2408,4958,1849,231,472,465,531,1176,97,44,83,46,99,246,143,22424,
"Yarra Ranges",56,47,20,61,54,37,108,260,266,363,29,115,91,35,186,67,458,168,18,6,30,5,32,2372,399,3784,467,26567,945,441,341,350,360,47,11,25,25,43,151,106,38942,
"Cardinia",13,11,8,20,31,30,24,67,29,48,39,91,131,31,20,15,16,20,3,0,14,0,11,324,4,110,55,561,14173,2276,1774,383,236,12,7,11,10,14,340,253,21220,
"Casey - North",34,27,24,107,132,124,110,292,137,243,190,421,675,116,80,49,50,86,20,13,32,12,31,1441,81,341,171,860,4915,14802,7347,1925,1055,49,41,40,44,60,1530,694,38404,
"Casey - South",22,16,8,29,68,41,31,110,34,71,79,140,457,58,18,10,8,23,3,3,9,10,12,464,19,119,76,206,1727,2306,13792,1265,399,28,4,4,11,20,1752,996,24455,
"Dandenong",185,165,146,424,844,497,492,1435,774,1292,1496,2649,5095,611,469,230,316,538,132,45,168,62,230,5657,264,1572,1092,2367,5688,11633,15882,24335,6030,355,203,203,239,445,7572,3597,105411,
"Monash",508,419,298,1016,1646,1267,1068,3596,1541,3200,2069,5159,3965,1418,969,490,598,935,211,69,324,104,413,8704,556,2872,2339,3043,2672,5513,6028,9208,22331,553,457,449,489,893,3334,1811,102503,
"Brimbank",702,206,1052,610,430,161,269,309,195,116,162,286,128,74,404,451,179,1197,1626,513,769,1161,1649,153,57,90,63,87,75,101,151,212,231,19072,2098,2350,8682,6599,100,80,52862,
"Hobsons Bay",279,98,410,427,425,135,217,248,133,101,191,295,153,74,225,196,119,612,459,131,274,297,654,149,28,106,56,98,71,122,157,212,206,3054,9614,1565,2529,7217,109,87,31533,
"Maribyrnong",871,273,1477,953,499,198,474,403,208,156,176,335,139,87,329,383,122,692,1537,205,630,360,1025,144,41,119,82,86,43,136,97,204,274,5892,2554,7996,2938,3929,77,69,36215,
"Melton - Bacchus Marsh",187,60,253,128,123,21,57,68,57,27,32,72,52,20,101,96,62,377,376,405,209,597,423,73,11,38,17,29,19,54,52,81,54,2799,469,445,17790,2108,37,21,27892,
"Wyndham",316,123,528,534,452,174,211,264,108,108,164,237,149,71,270,275,132,944,669,278,443,538,1061,168,27,113,59,97,75,135,171,195,200,4874,3882,1473,4823,34858,110,82,59385,
"Frankston",27,25,20,93,194,94,93,181,80,143,472,467,2393,88,64,39,33,45,14,5,16,0,32,608,37,210,109,261,742,1208,4459,1467,566,28,25,32,31,45,20692,7249,42398,
"Mornington Peninsula",29,23,16,70,82,60,50,111,45,47,155,156,777,44,45,28,20,39,10,8,6,0,19,196,15,88,49,132,344,354,1985,550,178,30,7,12,8,31,5776,37114,48706,
"Total",45117,27117,32950,62132,55082,34590,49292,79067,38047,44235,43894,70305,55105,19752,55750,39691,31956,89405,25688,12052,30923,17993,59004,72955,12205,51511,27346,67929,40348,56571,73036,72620,73113,71773,37552,39712,62759,93597,58890,61915,1992966,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
