# SA3_code,Flats_total,Houses_owned,Houses_total
20601,10584,16178,28422
20602,5864,10376,17457
20603,11077,11983,18561
20604,63726,4678,10814
20605,39027,9915,17712
20606,23386,7105,12625
20607,20949,11261,22719
20701,16619,35859,52177
20702,3342,22935,32679
20703,5064,23206,36585
20801,5877,23990,34726
20802,15724,30680,46711
20803,8859,28247,41256
20804,5482,8422,12115
20901,3547,31354,46377
20902,4048,19523,35437
20903,608,18263,22598
20904,2668,49632,73945
21001,310,16122,23048
21002,93,8216,11210
21003,1841,16921,28838
21004,1002,10127,14199
21005,1487,33036,50981
21101,1614,40547,56994
21102,131,7060,8969
21103,1225,28849,42880
21104,728,16030,23423
21105,347,42252,57583
21201,188,22737,34673
21202,621,30918,45201
21203,607,38181,54964
21204,6749,36294,60218
21205,8591,37177,58496
21301,3344,39687,62211
21302,2823,20500,32043
21303,8852,14240,26359
21304,601,35710,52768
21305,1919,46195,74903
21401,2034,33027,54088
21402,3634,41959,84516
