Uid,Name,Longitude,Latitude,Occupants_distribution,Occupants_values,pv_density,pv_capacity_in_kW,distance_commuted_if_work_and_home_equal_distribution,distance_commuted_if_work_and_home_equal_values,flats_total,houses_owned,houses_total
206,Melbourne - Inner,144.96452,-37.80017,84197;92587;35265;24673;7529;2658,1;2;3;4;5;6,0.117598876,3.509126936,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.14219485563928616;0.22115023180052626;0.2276120070882632;0.19251078454185835;0.12093006604972524;0.053591565682782324;0.024665723951527736;0.011706374066980507;0.004492813288703528;0.0009486816904433744;0.00019689619990334185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,174617,71493,128319
207,Melbourne - Inner East,145.10486,-37.80478,29641;39816;22046;24125;9486;3229,1;2;3;4;5;6,0.135103387,3.908482889,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.16813226744186047;0.2393531976744186;0.21300872093023257;0.16322674418604652;0.10490552325581395;0.06366279069767442;0.02950581395348837;0.009811046511627907;0.003815406976744186;0.0023619186046511626;0.00047238372093023255;0.0;0.0005087209302325581;0.0007994186046511628;0.00043604651162790697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,25030,82005,121449
208,Melbourne - Inner South,145.06382,-37.95033,39145;47030;24027;26953;9796;2781,1;2;3;4;5;6,0.135028261,3.894689373,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.1562918506026487;0.21769753484450177;0.19217796736273002;0.14726452060909678;0.10148306135608352;0.06577054709587818;0.044566241753881256;0.027007588909280292;0.019691483557363228;0.012896185705074153;0.006993700709290214;0.004588066068151381;0.0022568324983879766;0.0008432121422548485;0.00047120678537770943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,35946,91343,134816
209,Melbourne - North East,145.16921,-37.52069,34268;51272;30833;33039;13268;5980,1;2;3;4;5;6,0.18471699,4.077678902,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.08707530882821274;0.14567305274802636;0.14046026717621227;0.12576054709106452;0.10928412195571646;0.09473525418615175;0.0801361023113927;0.06285513149293508;0.04559092204287558;0.02849432627679724;0.020281255761720386;0.012403412614605857;0.00712358156919931;0.0056485811501651;0.0043076716783158175;0.004927842309046111;0.0040059670471497295;0.003871876099964801;0.003637216942391177;0.0035701714687987125;0.002396875680930591;0.0027321030488929115;0.002212500628551315;0.0013073867350530497;0.0007039774727208729;0.00033522736796232045;0.00020113642077739227;0.0001508523155830442;5.0284105194348066e-05;0.0;0.0;0.0;0.0;0.0;0.0;6.704547359246409e-05;0.0;0.0,10867,118770,178362
210,Melbourne - North West,144.74582,-37.47597,23318;34310;21198;22638;10614;6542,1;2;3;4;5;6,0.206356883,4.324327843,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.0881856144137381;0.13637216722188336;0.12522873363674752;0.11889457138835452;0.10716464129873786;0.08954628630413362;0.05752357715948013;0.03967062356308356;0.036644301599962466;0.0308966358560503;0.03148313236053113;0.023975977103176466;0.02627504340074133;0.0199878008727068;0.011237273025852765;0.009102425749542533;0.004269694552620466;0.0024398254586402665;0.003753577628677333;0.007694834138788533;0.006662600290902266;0.0032843804250926663;0.003964716370290433;0.004715431896025899;0.0032374607047342;0.0021817669966686997;0.0016656500727255665;0.0011026134284239666;0.0009149345469901;0.0006334162248393;0.0005864965044808333;0.0002111387416131;0.0001407591610754;0.00016421902125463332;7.03795805377e-05;0.00011729930089616666;0.0;0.0,4734,84430,128277
211,Melbourne - Outer East,145.50589,-37.75962,37471;55678;30398;33195;13284;5255,1;2;3;4;5;6,0.1962781,3.84802174,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.07966002724972426;0.14063452929345358;0.1482644520859015;0.1410886913644326;0.11608382534224355;0.09350548238499967;0.06834490365276066;0.05239732693181081;0.03696879257769416;0.028261856874067345;0.01928242392785311;0.014987348342308441;0.011185363005255303;0.00927788230714332;0.006345292934535782;0.005904106922727567;0.005138519431648609;0.005125543372477778;0.0043080516447155;0.00358139233114903;0.0029585414909491987;0.0022059300590410694;0.001492246804645429;0.0009472523194705768;0.0008304677869331084;0.0005709466035165121;0.00023356906507493674;0.00015571271004995784;0.00011678453253746837;9.083241419580873e-05;0.0;5.1904236683319275e-05;0.0;0.0;0.0;0.0;0.0;0.0,4048,134757,189848
212,Melbourne - South East,145.46815,-38.07319,43902;69246;46029;49311;21209;13310,1;2;3;4;5;6,0.243814122,4.253049614,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.05962817162327566;0.10588342320288464;0.12215918488868305;0.11680009262628602;0.10163253829104503;0.08602666313804624;0.07078467696582752;0.05966125243971021;0.046635680968606305;0.03950676502696086;0.033171788679744615;0.03036818948691654;0.028432961725495386;0.025389526613516823;0.019931191901816137;0.012827086572496609;0.00884911839624202;0.006483840021171723;0.006583082470475371;0.005714711039068445;0.004176453074861888;0.0023983591915048464;0.0018029044956829534;0.001281881636838797;0.0011082073505574118;0.0009179926560587516;0.0005954546958218929;0.00045486122597505706;0.0001405934698468358;0.00023156571504184722;0.00017367428628138542;9.097224519501141e-05;0.00011578285752092361;4.135102054318701e-05;0.0;0.0;0.0;0.0,16753,165312,253547
213,Melbourne - West,144.62495,-37.77646,45193;66656;45562;46827;19870;12324,1;2;3;4;5;6,0.233063858,4.119776057,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.06538514728253354;0.11282902318720324;0.11032130180242475;0.10140598349698059;0.09025031116028212;0.08507813580417646;0.07681740653667081;0.06755174480247084;0.05982575024201355;0.04861476052182732;0.04004056608122436;0.029751532752500805;0.022182270778592174;0.015820771677499654;0.014511593601622644;0.013285391600977274;0.011607430968515188;0.010482644170930715;0.007246577236896695;0.003982851611118794;0.003466556031899691;0.0030516756557414835;0.002258793159083575;0.0017517171437790992;0.001364495459364772;0.0005900520905361176;0.0003687825565850735;0.00012907389480477574;2.7658691743880515e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,17550,156342,248278
214,Mornington Peninsula,145.0563,-38.31033,28868;37066;16264;16257;6542;2481,1;2;3;4;5;6,0.183991677,3.846263999,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.08438837475071145;0.14715306877002712;0.12828556703341026;0.10439868241199274;0.09630940910211307;0.07547000694646738;0.05879848522195084;0.050552356196921146;0.04123064512514845;0.036300894077576355;0.03385842651309745;0.02850292423868958;0.023192237882896004;0.016223362538373632;0.013691263136666144;0.013063840276066059;0.010711004548815739;0.009433750868308423;0.007685930042351043;0.0049073430882649515;0.0042799202276648666;0.004167880431129137;0.0023080198086360276;0.0018822685818002554;0.0012100298025858785;0.0007394626571358146;0.0006050149012929392;0.0003361193896071885;0.0001344477558428754;0.0001120397965357295;6.72238779214377e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0,5667,74983,138606
