time_step,cur_activity,charge_received,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public,soc,mu,work_charge_instruction,home_charge_instruction,emergency_charge_instruction,soc_abs
10525,1,0.917,0.035,0.882,0,0,0.512,12.282,0,4.351,0,39.424
10530,1,0.917,0,0.917,0,0,0.524,12.283,0,3.434,0,40.348
10535,1,0.917,0.008,0.909,0,0,0.536,12.282,0,2.518,0,41.272
10540,1,0.917,0.015,0.901,0,0,0.548,12.287,0,1.601,0,42.196
10545,1,0.684,0,0.684,0,0,0.557,12.296,0,0.684,0,42.889
10550,0,0,0,0,0,0,0.549,12.297,0,0,0,42.273
10555,0,0,0,0,0,0,0.542,12.298,0,0,0,41.734
10560,0,0,0,0,0,0,0.534,12.299,0,0,0,41.118
10565,0,0,0,0,0,0,0.527,12.3,0,0,0,40.579
10570,0,0,0,0,0,0,0.52,12.301,0,0,0,40.04
10575,0,0,0,0,0,0,0.512,12.302,0,0,0,39.424
10580,0,0,0,0,0,0,0.505,12.303,0,0,0,38.885
10585,0,0,0,0,0,0,0.497,12.304,0,0,0,38.269
10590,0,0,0,0,0,0,0.49,12.305,0,0,0,37.73
10595,0,0,0,0,0,0,0.483,12.305,0,0,0,37.191
10600,0,0,0,0,0,0,0.475,12.306,0,0,0,36.575
10605,0,0,0,0,0,0,0.468,12.305,0,0,0,36.036
10610,0,0,0,0,0,0,0.46,12.301,0,0,0,35.42
10615,0,0,0,0,0,0,0.453,12.297,0,0,0,34.881
10620,0,0,0,0,0,0,0.446,12.293,0,0,0,34.342
10625,0,0,0,0,0,0,0.438,12.287,0,0,0,33.726
10630,0,0,0,0,0,0,0.431,12.276,0,0,0,33.187
10635,0,0,0,0,0,0,0.423,12.255,0,0,0,32.571
10640,0,0,0,0,0,0,0.416,12.256,0,0,0,32.032
10645,0,0,0,0,0,0,0.409,12.251,0,0,0,31.493
10650,0,0,0,0,0,0,0.401,12.241,0,0,0,30.877
10655,0,0,0,0,0,0,0.394,12.242,0,0,0,30.338
10660,0,0,0,0,0,0,0.386,12.243,0,0,0,29.722
10665,0,0,0,0,0,0,0.379,12.244,0,0,0,29.183
10670,0,0,0,0,0,0,0.372,12.245,0,0,0,28.644
10675,0,0,0,0,0,0,0.364,12.246,0,0,0,28.028
10680,0,0,0,0,0,0,0.357,12.247,0,0,0,27.489
10685,0,0,0,0,0,0,0.349,12.248,0,0,0,26.873
10690,0,0,0,0,0,0,0.342,12.25,0,0,0,26.334
10695,0,0,0,0,0,0,0.335,12.245,0,0,0,25.795
10700,0,0,0,0,0,0,0.327,12.246,0,0,0,25.179
10705,0,0,0,0,0,0,0.32,12.247,0,0,0,24.64
10710,0,0,0,0,0,0,0.312,12.248,0,0,0,24.024
10715,0,0,0,0,0,0,0.305,12.248,0,0,0,23.485
10720,0,0,0,0,0,0,0.298,12.249,0,0,0,22.946
10725,2,0.917,0,0,0.917,0,0.304,12.249,35.316,0,0,23.408
10730,2,0.917,0,0,0.917,0,0.316,12.241,34.399,0,0,24.332
10735,2,0.917,0,0,0.917,0,0.328,12.23,33.482,0,0,25.256
10740,2,0.917,0,0,0.917,0,0.34,12.22,32.566,0,0,26.18
10745,2,0.917,0,0,0.917,0,0.352,12.214,31.649,0,0,27.104
10750,2,0.917,0,0,0.917,0,0.364,12.215,30.732,0,0,28.028
10755,2,0.917,0,0,0.917,0,0.376,12.216,29.816,0,0,28.952
10760,2,0.917,0,0,0.917,0,0.387,12.203,28.899,0,0,29.799
10765,2,0.917,0,0,0.917,0,0.399,12.204,27.982,0,0,30.723
10770,2,0.917,0,0,0.917,0,0.411,12.205,27.066,0,0,31.647
10775,2,0.917,0,0,0.917,0,0.423,12.206,26.149,0,0,32.571
10780,2,0.917,0,0,0.917,0,0.435,12.207,25.232,0,0,33.495
10785,2,0.917,0,0,0.917,0,0.447,12.188,24.316,0,0,34.419
10790,2,0.917,0,0,0.917,0,0.459,12.183,23.399,0,0,35.343
10795,2,0.917,0,0,0.917,0,0.471,12.196,22.482,0,0,36.267
10800,2,0.917,0,0,0.917,0,0.483,12.188,21.566,0,0,37.191
10805,2,0.917,0,0,0.917,0,0.495,12.14,20.649,0,0,38.115
10810,2,0.917,0,0,0.917,0,0.506,12.1,19.732,0,0,38.962
10815,2,0.917,0,0,0.917,0,0.518,12.089,18.816,0,0,39.886
10820,2,0.917,0,0,0.917,0,0.53,12.078,17.899,0,0,40.81
10825,2,0.917,0,0,0.917,0,0.542,12.078,16.982,0,0,41.734
10830,2,0.917,0,0,0.917,0,0.554,12.077,16.066,0,0,42.658
10835,2,0.917,0,0,0.917,0,0.566,12.063,15.149,0,0,43.582
10840,2,0.917,0,0,0.917,0,0.578,12.048,14.232,0,0,44.506
10845,2,0.917,0,0,0.917,0,0.59,12.024,13.316,0,0,45.43
10850,2,0.917,0,0,0.917,0,0.602,12.016,12.399,0,0,46.354
10855,2,0.917,0,0,0.917,0,0.614,11.987,11.482,0,0,47.278
10860,2,0.917,0,0,0.917,0,0.626,11.988,10.566,0,0,48.202
10865,2,0.917,0,0,0.917,0,0.637,11.989,9.649,0,0,49.049
10870,2,0.917,0,0,0.917,0,0.649,11.99,8.732,0,0,49.973
10875,2,0.917,0,0,0.917,0,0.661,11.991,7.816,0,0,50.897
10880,2,0.917,0,0,0.917,0,0.673,11.981,6.899,0,0,51.821
10885,2,0.917,0,0,0.917,0,0.685,11.973,5.982,0,0,52.745
10890,2,0.917,0,0,0.917,0,0.697,11.974,5.066,0,0,53.669
10895,2,0.917,0,0,0.917,0,0.709,11.975,4.149,0,0,54.593
10900,2,0.917,0,0,0.917,0,0.721,11.976,3.232,0,0,55.517
10905,2,0.917,0,0,0.917,0,0.733,11.977,2.316,0,0,56.441
10910,2,0.917,0,0,0.917,0,0.745,11.967,1.399,0,0,57.365
10915,2,0.482,0,0,0.482,0,0.751,11.968,0.482,0,0,57.827
10920,2,0,0,0,0,0,0.751,11.968,0,0,0,57.827
10925,2,0,0,0,0,0,0.751,11.968,0,0,0,57.827
10930,2,0,0,0,0,0,0.751,11.967,0,0,0,57.827
10935,2,0,0,0,0,0,0.751,11.966,0,0,0,57.827
10940,2,0,0,0,0,0,0.751,11.958,0,0,0,57.827
10945,2,0,0,0,0,0,0.751,11.934,0,0,0,57.827
10950,2,0,0,0,0,0,0.751,11.927,0,0,0,57.827
10955,2,0,0,0,0,0,0.751,11.927,0,0,0,57.827
10960,2,0,0,0,0,0,0.751,11.948,0,0,0,57.827
10965,2,0,0,0,0,0,0.751,11.925,0,0,0,57.827
10970,2,0,0,0,0,0,0.751,11.894,0,0,0,57.827
10975,2,0,0,0,0,0,0.751,11.873,0,0,0,57.827
10980,2,0,0,0,0,0,0.751,11.873,0,0,0,57.827
10985,2,0,0,0,0,0,0.751,11.872,0,0,0,57.827
10990,2,0,0,0,0,0,0.751,11.871,0,0,0,57.827
10995,2,0,0,0,0,0,0.751,11.87,0,0,0,57.827
11000,2,0,0,0,0,0,0.751,11.869,0,0,0,57.827
11005,2,0,0,0,0,0,0.751,11.868,0,0,0,57.827
11010,2,0,0,0,0,0,0.751,11.867,0,0,0,57.827
11015,2,0,0,0,0,0,0.751,11.866,0,0,0,57.827
11020,2,0,0,0,0,0,0.751,11.871,0,0,0,57.827
11025,2,0,0,0,0,0,0.751,11.87,0,0,0,57.827
11030,2,0,0,0,0,0,0.751,11.869,0,0,0,57.827
11035,2,0,0,0,0,0,0.751,11.868,0,0,0,57.827
11040,2,0,0,0,0,0,0.751,11.867,0,0,0,57.827
11045,2,0,0,0,0,0,0.751,11.866,0,0,0,57.827
11050,2,0,0,0,0,0,0.751,11.864,0,0,0,57.827
11055,2,0,0,0,0,0,0.751,11.863,0,0,0,57.827
11060,2,0,0,0,0,0,0.751,11.866,0,0,0,57.827
11065,2,0,0,0,0,0,0.751,11.864,0,0,0,57.827
11070,2,0,0,0,0,0,0.751,11.863,0,0,0,57.827
11075,2,0,0,0,0,0,0.751,11.862,0,0,0,57.827
11080,2,0,0,0,0,0,0.751,11.86,0,0,0,57.827
11085,2,0,0,0,0,0,0.751,11.859,0,0,0,57.827
11090,2,0,0,0,0,0,0.751,11.858,0,0,0,57.827
11095,2,0,0,0,0,0,0.751,11.856,0,0,0,57.827
11100,2,0,0,0,0,0,0.751,11.855,0,0,0,57.827
11105,2,0,0,0,0,0,0.751,11.855,0,0,0,57.827
11110,2,0,0,0,0,0,0.751,11.854,0,0,0,57.827
11115,2,0,0,0,0,0,0.751,11.856,0,0,0,57.827
11120,2,0,0,0,0,0,0.751,11.856,0,0,0,57.827
11125,2,0,0,0,0,0,0.751,11.856,0,0,0,57.827
11130,2,0,0,0,0,0,0.751,11.855,0,0,0,57.827
11135,2,0,0,0,0,0,0.751,11.855,0,0,0,57.827
11140,2,0,0,0,0,0,0.751,11.855,0,0,0,57.827
11145,2,0,0,0,0,0,0.751,11.854,0,0,0,57.827
11150,2,0,0,0,0,0,0.751,11.854,0,0,0,57.827
11155,2,0,0,0,0,0,0.751,11.855,0,0,0,57.827
11160,2,0,0,0,0,0,0.751,11.857,0,0,0,57.827
11165,2,0,0,0,0,0,0.751,11.858,0,0,0,57.827
11170,2,0,0,0,0,0,0.751,11.86,0,0,0,57.827
11175,2,0,0,0,0,0,0.751,11.86,0,0,0,57.827
11180,2,0,0,0,0,0,0.751,11.86,0,0,0,57.827
11185,2,0,0,0,0,0,0.751,11.86,0,0,0,57.827
11190,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11195,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11200,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11205,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11210,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11215,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11220,2,0,0,0,0,0,0.751,11.862,0,0,0,57.827
11225,2,0,0,0,0,0,0.751,11.862,0,0,0,57.827
11230,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11235,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11240,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11245,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11250,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11255,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11260,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11265,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11270,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11275,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11280,2,0,0,0,0,0,0.751,11.861,0,0,0,57.827
11285,2,0,0,0,0,0,0.751,11.86,0,0,0,57.827
11290,2,0,0,0,0,0,0.751,11.859,0,0,0,57.827
11295,2,0,0,0,0,0,0.751,11.858,0,0,0,57.827
11300,2,0,0,0,0,0,0.751,11.857,0,0,0,57.827
11305,2,0,0,0,0,0,0.751,11.856,0,0,0,57.827
11310,2,0,0,0,0,0,0.751,11.855,0,0,0,57.827
11315,2,0,0,0,0,0,0.751,11.854,0,0,0,57.827
11320,2,0,0,0,0,0,0.751,11.853,0,0,0,57.827
11325,2,0,0,0,0,0,0.751,11.852,0,0,0,57.827
11330,2,0,0,0,0,0,0.751,11.851,0,0,0,57.827
11335,2,0,0,0,0,0,0.751,11.85,0,0,0,57.827
11340,2,0,0,0,0,0,0.751,11.849,0,0,0,57.827
11345,2,0,0,0,0,0,0.751,11.848,0,0,0,57.827
11350,2,0,0,0,0,0,0.751,11.847,0,0,0,57.827
11355,2,0,0,0,0,0,0.751,11.846,0,0,0,57.827
11360,2,0,0,0,0,0,0.751,11.845,0,0,0,57.827
11365,2,0,0,0,0,0,0.751,11.844,0,0,0,57.827
11370,2,0,0,0,0,0,0.751,11.843,0,0,0,57.827
11375,2,0,0,0,0,0,0.751,11.842,0,0,0,57.827
11380,2,0,0,0,0,0,0.751,11.841,0,0,0,57.827
11385,2,0,0,0,0,0,0.751,11.84,0,0,0,57.827
11390,2,0,0,0,0,0,0.751,11.839,0,0,0,57.827
11395,2,0,0,0,0,0,0.751,11.838,0,0,0,57.827
11400,2,0,0,0,0,0,0.751,11.837,0,0,0,57.827
11405,2,0,0,0,0,0,0.751,11.837,0,0,0,57.827
11410,2,0,0,0,0,0,0.751,11.836,0,0,0,57.827
11415,2,0,0,0,0,0,0.751,11.836,0,0,0,57.827
11420,2,0,0,0,0,0,0.751,11.835,0,0,0,57.827
11425,2,0,0,0,0,0,0.751,11.835,0,0,0,57.827
11430,2,0,0,0,0,0,0.751,11.834,0,0,0,57.827
11435,2,0,0,0,0,0,0.751,11.834,0,0,0,57.827
11440,2,0,0,0,0,0,0.751,11.833,0,0,0,57.827
11445,2,0,0,0,0,0,0.751,11.833,0,0,0,57.827
11450,2,0,0,0,0,0,0.751,11.832,0,0,0,57.827
11455,2,0,0,0,0,0,0.751,11.832,0,0,0,57.827
11460,0,0,0,0,0,0,0.743,11.831,0,0,0,57.211
11465,0,0,0,0,0,0,0.736,11.831,0,0,0,56.672
11470,0,0,0,0,0,0,0.729,11.831,0,0,0,56.133
11475,0,0,0,0,0,0,0.721,11.831,0,0,0,55.517
11480,0,0,0,0,0,0,0.714,11.831,0,0,0,54.978
11485,0,0,0,0,0,0,0.706,11.83,0,0,0,54.362
11490,0,0,0,0,0,0,0.699,11.83,0,0,0,53.823
11495,0,0,0,0,0,0,0.692,11.83,0,0,0,53.284
11500,0,0,0,0,0,0,0.684,11.83,0,0,0,52.668
11505,0,0,0,0,0,0,0.677,11.829,0,0,0,52.129
11510,0,0,0,0,0,0,0.669,11.829,0,0,0,51.513
11515,0,0,0,0,0,0,0.662,11.829,0,0,0,50.974
11520,0,0,0,0,0,0,0.655,11.829,0,0,0,50.435
11525,0,0,0,0,0,0,0.647,11.828,0,0,0,49.819
11530,0,0,0,0,0,0,0.64,11.828,0,0,0,49.28
11535,0,0,0,0,0,0,0.632,11.828,0,0,0,48.664
11540,0,0,0,0,0,0,0.625,11.828,0,0,0,48.125
11545,0,0,0,0,0,0,0.618,11.827,0,0,0,47.586
11550,0,0,0,0,0,0,0.61,11.827,0,0,0,46.97
11555,0,0,0,0,0,0,0.603,11.827,0,0,0,46.431
11560,0,0,0,0,0,0,0.595,11.827,0,0,0,45.815
11565,0,0,0,0,0,0,0.588,11.826,0,0,0,45.276
11570,0,0,0,0,0,0,0.581,11.826,0,0,0,44.737
11575,0,0,0,0,0,0,0.573,11.826,0,0,0,44.121
11580,0,0,0,0,0,0,0.566,11.826,0,0,0,43.582
11585,0,0,0,0,0,0,0.558,11.826,0,0,0,42.966
11590,0,0,0,0,0,0,0.551,11.825,0,0,0,42.427
11595,0,0,0,0,0,0,0.544,11.825,0,0,0,41.888
11600,0,0,0,0,0,0,0.536,11.825,0,0,0,41.272
11605,0,0,0,0,0,0,0.529,11.825,0,0,0,40.733
11610,0,0,0,0,0,0,0.521,11.825,0,0,0,40.117
11615,0,0,0,0,0,0,0.514,11.825,0,0,0,39.578
11620,0,0,0,0,0,0,0.507,11.825,0,0,0,39.039
11625,0,0,0,0,0,0,0.499,11.825,0,0,0,38.423
11630,0,0,0,0,0,0,0.492,11.825,0,0,0,37.884
11635,1,0,0,0,0,0,0.486,11.825,0,4.988,0,37.422
11640,1,0,0,0,0,0,0.486,11.824,0,4.988,0,37.422
11645,1,0,0,0,0,0,0.486,11.824,0,4.988,0,37.422
11650,1,0,0,0,0,0,0.486,11.824,0,4.988,0,37.422
11655,1,0,0,0,0,0,0.486,11.823,0,4.988,0,37.422
11660,1,0,0,0,0,0,0.486,11.823,0,4.988,0,37.422
11665,1,0,0,0,0,0,0.486,11.823,0,4.988,0,37.422
11670,1,0,0,0,0,0,0.486,11.822,0,4.988,0,37.422
11675,1,0,0,0,0,0,0.486,11.822,0,4.988,0,37.422
11680,1,0,0,0,0,0,0.486,11.822,0,4.988,0,37.422
11685,1,0,0,0,0,0,0.486,11.821,0,4.988,0,37.422
11690,1,0,0,0,0,0,0.486,11.821,0,4.988,0,37.422
11695,1,0,0,0,0,0,0.486,11.82,0,4.988,0,37.422
11700,1,0,0,0,0,0,0.486,11.82,0,4.988,0,37.422
11705,1,0,0,0,0,0,0.486,11.82,0,4.988,0,37.422
