Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019,
Weight used: PWGTP,
Universe: default universe (usually US),
Time of arrival at work - hour and minute,
7:45 p.m. to 7:49 p.m.,49242
7:50 p.m. to 7:54 p.m.,45423
7:55 p.m. to 7:59 p.m.,26010
8:00 p.m. to 8:04 p.m.,72182
8:05 p.m. to 8:09 p.m.,34470
8:10 p.m. to 8:14 p.m.,36812
8:15 p.m. to 8:19 p.m.,52364
8:20 p.m. to 8:24 p.m.,45668
8:25 p.m. to 8:29 p.m.,27466
8:30 p.m. to 8:34 p.m.,60624
8:35 p.m. to 8:39 p.m.,25105
8:40 p.m. to 8:44 p.m.,41306
8:45 p.m. to 8:49 p.m.,48539
8:50 p.m. to 8:54 p.m.,44379
8:55 p.m. to 8:59 p.m.,25702
9:00 p.m. to 9:04 p.m.,60254
9:05 p.m. to 9:09 p.m.,35015
9:10 p.m. to 9:14 p.m.,45794
9:15 p.m. to 9:19 p.m.,63418
9:20 p.m. to 9:24 p.m.,59674
9:25 p.m. to 9:29 p.m.,39071
9:30 p.m. to 9:34 p.m.,83842
9:35 p.m. to 9:39 p.m.,52667
9:40 p.m. to 9:44 p.m.,75038
9:45 p.m. to 9:49 p.m.,98935
9:50 p.m. to 9:54 p.m.,93752
9:55 p.m. to 9:59 p.m.,60389
10:00 p.m. to 10:04 p.m.,103725
10:05 p.m. to 10:09 p.m.,64719
10:10 p.m. to 10:14 p.m.,69514
10:15 p.m. to 10:19 p.m.,83010
10:20 p.m. to 10:24 p.m.,90407
10:25 p.m. to 10:29 p.m.,46655
10:30 p.m. to 10:34 p.m.,104797
10:35 p.m. to 10:39 p.m.,60401
10:40 p.m. to 10:44 p.m.,84119
10:45 p.m. to 10:49 p.m.,114449
10:50 p.m. to 10:54 p.m.,89071
10:55 p.m. to 10:59 p.m.,56004
11:00 p.m. to 11:04 p.m.,92020
11:05 p.m. to 11:09 p.m.,39552
11:10 p.m. to 11:14 p.m.,41320
11:15 p.m. to 11:19 p.m.,46448
11:20 p.m. to 11:24 p.m.,40219
11:25 p.m. to 11:29 p.m.,18414
11:30 p.m. to 11:34 p.m.,53399
11:35 p.m. to 11:39 p.m.,18715
11:40 p.m. to 11:44 p.m.,27910
11:45 p.m. to 11:49 p.m.,41242
11:50 p.m. to 11:54 p.m.,34381
11:55 p.m. to 11:59 p.m.,24305
