employees_per_charger\company_charger_cost_per_kWh,0.08,0.09,0.09999999999999999,0.10999999999999999,0.11999999999999998,0.12999999999999998,0.13999999999999996,0.14999999999999997,0.15999999999999998,0.16999999999999996,0.17999999999999994,0.18999999999999995,0.19999999999999996,0.20999999999999996,0.21999999999999992,0.22999999999999993,0.23999999999999994,0.24999999999999994,0.2599999999999999,0.2699999999999999,0.2799999999999999,0.2899999999999999,0.2999999999999999,0.3099999999999999
1,87889.43992589702,87419.53342397543,87163.98159712277,75589.13669421079,76778.32988689613,77677.8434702668,76354.43208211593,76383.55724707081,76358.83218383184,77441.31432590765,77251.38922101787,75614.23877683625,75223.90167284939,7764.945913625527,7779.102185352747,7489.991825805415,7074.138144502157,6672.955143747051,7240.2870358421915,7509.533172636563,7024.145001598287,7442.643744406703,7387.055237096679,7154.420707757911
7,86270.74129598768,85812.98747488912,87610.77365674831,75703.28897694146,75624.76886280166,77510.63270184424,77015.25874088614,76923.96305318917,74581.76168285204,76475.84432112897,76303.66140587637,76741.36248038472,75154.65598806737,7490.607883282764,6983.615719705521,7139.230916302006,7259.311182907495,7278.321809043126,7333.94826894185,6751.528501854207,6856.035488700407,7158.206693782599,7393.079935412732,7642.0808907783885
13,84320.07345144737,84373.09420571833,83647.20142920391,74768.20942455546,74650.62425535402,73799.21342864551,74620.59029833823,75109.48482252508,75234.55454647598,73868.39906115427,73919.52517767623,74429.41497466154,74238.74522511828,7202.11775802803,7334.155830252726,7277.601252352391,7464.075795946449,7439.662426784883,7223.903828893711,7041.547280747239,7530.383776448858,7119.596559147125,6977.566437177811,7262.079940008514
19,78592.33347831668,79420.66085850935,78132.46109844488,70983.4201527655,72207.69928664676,71301.5281207291,71617.2569666873,70936.11145468673,70460.37330549188,70670.12821248993,70992.90151178397,70432.64503240472,70530.27684562828,7097.52018741702,7119.88834863176,7277.602856764965,7118.496361979154,7209.233334444843,7491.53430500904,7323.205751896925,7420.191164876074,7449.069260036801,7027.769308610859,7262.528449953077
25,72537.44030903012,71665.12273516765,72627.37440997208,66204.07551877345,66179.9339306121,65801.40396720386,65965.73814066823,65458.06452258726,65688.74840989217,65726.48626581962,65339.86086198075,65436.812033846814,66561.56290951374,7447.560717570953,7382.386591444027,6730.573103391911,7433.550682790369,7011.878173437676,7330.9151031688525,7078.9762273577635,7627.102116490298,7159.957794325409,7558.387132472556,7155.619218535048
31,66158.91394720368,66115.00547210797,65311.358798151545,60468.37455678502,60465.39796083684,61098.97996335769,60304.03031789763,60679.98197796355,60738.38325973848,60308.92158389682,60305.03995106724,60872.58342218735,60923.30749228389,7702.551823601517,7623.720499711395,7071.363265982499,7315.298207758557,7158.77066814516,7528.952009179215,7185.782921318155,7148.125848148368,6981.342018342366,7621.124940951331,7370.425518112005
37,61939.34305000545,61298.348473019854,61114.912730490905,56755.88407037461,56757.63401414543,56090.8034816923,57432.11039669142,57077.083496078834,56841.89299841945,56680.29074728634,57129.21235485312,56906.72525174076,56999.03612033367,7499.743314332553,7464.257576153018,7658.085949116439,7678.845533462111,7225.76339450446,7694.580557779209,7014.221330601748,7753.170337023998,7313.783683308627,6858.797792180275,7436.209134785438
43,58455.83450260286,58648.14383949361,58273.84692533716,53349.86629856006,53512.59723112672,53373.73507558403,52777.49474012453,53042.49012542368,53533.29462193922,54179.49906387972,53799.00508483579,53714.84609720972,53444.56235417215,7755.705965483292,7530.545893299954,8017.568308214944,7381.657118946015,6883.999114019318,7729.8091020780275,7750.262749061766,7070.375665761602,7287.057538536537,7414.92480711981,7505.776083878908
49,54512.64851411348,55236.24779776549,54574.01802886757,50938.090948153746,50563.72089465473,50238.38528051382,51009.40725785775,51053.43703672348,50315.544246100144,51309.205157424934,50092.74709864655,50566.595232157786,51187.39247984548,7381.818163482354,7973.189128485214,7061.386652468256,7607.6233341870775,7159.136151392908,7061.175011844513,7435.465382035794,7337.606159678113,7002.970465460423,7616.174508153531,7355.694010497443
55,50998.443155318215,50767.34252128291,51881.662293594025,48178.669229540945,47756.48803492318,47309.41369040549,47908.26817687647,48374.89117548747,47408.236422978945,47992.86682272991,47204.24406527769,47591.66744232564,48646.60950875742,7253.249769087259,7315.193678497533,7268.622103679117,7155.037571033902,7416.551036939999,7201.157533959511,7200.799022619731,7620.9501892519875,7511.892670646865,7491.227307523253,7270.939302553134
61,49506.596553561925,49322.08638673213,48911.34875028441,46372.46767823586,45969.55018258485,45636.33572568415,46411.81819223573,46510.54530514298,46093.150575177846,46289.47424669055,45768.07766984307,45909.1017012494,45763.007017903234,7321.23287115388,7620.346078277469,7428.561973107238,6613.262117565996,7405.848278206735,7421.182142833373,7069.244229018668,7336.180205796219,7354.774515035293,6983.8456794103895,7156.988574263322
67,47516.66670660648,47614.09369317742,47840.786480872055,44051.82112093282,44282.197952274626,44851.91648573565,44950.76140269508,44260.81510604839,44330.46666830477,44522.03966509939,43806.92345846411,44519.07940343987,44172.251176802834,6922.841662881678,7316.268857615716,6977.240406767676,6982.059252734509,7614.2343811970895,7470.244656420664,6566.497060178333,7158.882212614057,7410.673265825461,7591.079023821457,7395.946835206679
73,46147.71561833387,46222.28086274523,46220.465872168825,43187.94801541924,44031.21316548387,43224.46162851178,42819.39803072525,43520.194580816504,43360.79605680483,43657.22651956216,43635.27091424882,43543.34591838826,42681.71979075199,7292.500038625459,7491.44986670552,7316.942466389228,7597.104619110585,7242.82359594897,7664.861840111651,7560.794300913514,7193.457122858104,6994.101061483321,7160.960234494237,7625.362093015875
