Uid,Netflow,SA4_Code,SA4_Name,Longitude,Latitude,Population,commute_mean_in_km,commute_std_dev_in_km,Occupants_distribution,Occupants_values,pv_capacity_mean_in_kW,pv_capacity_std_dev_in_kW
1,1,206,Melbourne - Inner,144.9671,-37.8001,"308,700",8.21,12.85,84193;92587;35262;24674;7529;2664,1;2;3;4;5;6,6.002324381,4.130895903
2,3,207,Melbourne - Inner East,145.0789,-37.8089,"162,237",11.77,12.61,29635;39810;22051;24122;9486;3224,1;2;3;4;5;6,3.772189112,0.791883653
3,6,208,Melbourne - Inner South,145.0602,-37.9419,"189,838",12.23,12.25,39145;47029;24024;26954;9795;2780,1;2;3;4;5;6,4.248915004,1.022360971
4,8,209,Melbourne - North East,145.2667,-37.55,"218,758",17.09,15.64,34269;51270;30831;33037;13272;5985,1;2;3;4;5;6,4.121325595,1.296132093
5,2,210,Melbourne - North West,144.6874,-37.4544,"147,946",17.79,16.83,23317;34313;21202;22638;10611;6540,1;2;3;4;5;6,5.669137765,4.653237791
6,7,211,Melbourne - Outer East,145.572,-37.702,"232,784",16.97,15.27,37474;55675;30400;33197;13286;5258,1;2;3;4;5;6,4.055137416,0.87764239
7,4,212,Melbourne - South East,145.4851,-38.0736,"318,604",17.96,16.31,43902;69243;46030;49312;21211;13315,1;2;3;4;5;6,4.57646419,3.657488731
8,9,213,Melbourne - West,144.564,-37.7472,"311,049",18.12,15.86,45191;66659;45557;46826;19869;12319,1;2;3;4;5;6,4.748684886,4.192515004
9,5,214,Mornington Peninsula,145.105,-38.3,"121,346",20.62,20.5,28867;37064;16264;16257;6542;2483,1;2;3;4;5;6,4.205398,1.232889558
