time_step,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public
10075,0.0,141.0657713763941,-97.42619613847866,1.925181190025294
10080,0.0,143.2045777738077,-82.39411435796937,7.7478741360686705
10085,0.0,144.83977923840047,-71.41485869228006,5.756066460701987
10090,0.0,147.64559430066686,-61.492827294421275,4.513165287127231
10095,0.0,152.2105849094628,-51.17984344841124,2.5101401779695958
10100,0.0,152.61278899254444,-43.22334107026417,3.083181175555008
10105,0.0,153.12074664856394,-37.12098022137463,2.151599211674286
10110,0.0,153.29988487270018,-31.39553249437774,2.083333333333333
10115,0.0,153.29934711440634,-27.756945802862262,1.23219293560209
10120,0.0,158.05504122883673,-24.62124327747268,0.3005757937339255
10125,0.0,156.06022160996915,-197.88143356469604,-0.40198090889519955
10130,0.0,153.35137178994464,-253.23341699816189,0.0
10135,0.0,159.1999999999995,-223.07517063278033,0.0
10140,0.0,163.92462453117153,-191.12386974334495,1.34593473885285
10145,0.0,169.2916826892432,-163.29970683806138,1.670788574408698
10150,0.0,175.50993886388673,-138.26977885182487,0.591162307304347
10155,0.0,181.69145325575826,-117.20394130280127,1.041666666666666
10160,0.0,188.0945119501039,-98.42909691454477,0.7687105852737104
10165,0.0,196.56857267341823,-84.55118458761963,-8.881784197001252e-16
10170,0.0,201.48853844996307,-74.78386772277617,0.0
10175,0.0,207.95097371271697,-65.57907862727805,0.0
10180,0.0,216.7021210672322,-56.13586164583862,0.0
10185,0.0,223.18610861535157,-57.0445462626565,0.0
10190,0.0,231.16496545879832,-53.412084301639624,0.0
10195,0.0,240.08508740476304,-46.342465020252064,0.0
10200,0.0,248.99911099729937,-37.19823911884782,1.939676282200022
10205,0.0,256.59160640304555,-32.975752872117944,1.6073717342264917
10210,0.0,264.36610087005863,-28.832637990744807,1.2978777873549636
10215,0.0,274.9512984101181,-24.69093637669853,1.4659540960109774
10220,0.0,283.8705485419093,-21.512389991899717,0.2699130400887282
10225,0.0,294.09923261115637,-18.876315506292343,1.7322157576809118
10230,0.0,302.6267377806576,-16.72066032879977,0.9065730720453336
10235,0.0,311.7658960196524,-14.826955481441058,1.0416666666666665
10240,0.0,323.6053711432591,-13.117881109037217,0.8351730951747935
10245,0.0,333.8186754153488,-23.0411580589844,-0.9527786275934869
10250,0.0,344.24896133517575,-26.74676545386763,0.0
10255,0.0,354.7287709270713,-22.89139427926704,-3.552713678800501e-15
10260,0.0,364.5426114388978,-18.374551368342278,5.772214249715091
10265,0.0,375.7560710533343,-15.684019571949797,4.535702252126451
10270,0.0,386.1296992866623,-12.848483513018497,3.208130819919775
10275,0.0,397.011836504734,-10.548296179367822,1.8675662134927584
10280,0.0,408.05628952823275,-9.098108942980895,0.9497365190415352
10285,0.0,420.1754506451565,-8.09755072252675,8.881784197001252e-16
10290,0.0,431.1031538396499,-7.017000522139639,0.7852610407857288
10295,0.0,441.9974104901329,-5.87199206505193,-2.6645352591003757e-15
10300,0.0,456.8988256362041,-4.992064520825922,-4.440892098500626e-16
10305,0.0,466.656257010902,-42.475000000000016,0.0
10310,0.0,482.0840317189472,-53.9790842327515,1.0416666666666665
10315,0.0,496.4869297606513,-48.0196986453321,0.10400827838606763
10320,0.0,506.77967687973404,-40.19515050291312,6.621931365912175
10325,0.0,520.4037216545764,-32.65056557681008,5.583440938610656
10330,0.0,533.5820492402986,-28.180657814768033,4.164041854335925
10335,0.0,548.0310423102925,-25.23825767483492,5.138061336855415
10340,0.0,560.8341347319173,-22.205879216845247,3.2624929041553203
10345,0.0,574.3213537934893,-19.189209366261878,1.6709144016020132
10350,0.0,584.8959048530372,-16.69549776227385,2.0833333333333313
10355,0.0,598.1015065402395,-15.294924066064123,3.061500886547892
10360,0.0,613.2896770496109,-13.246605646214832,2.5427953843667614
10365,0.0,625.7031234336338,-48.029360455032716,4.161799663497568
10370,1.7675926553221066e-05,641.9635145238377,-60.50730241728926,2.1884316011045213
10375,-0.00023591799792516556,660.2925726087628,-52.40253226868538,1.2598252560638992
10380,-0.0008612092959353983,672.3395644054773,-45.05960717490267,17.677817251239254
10385,-0.00702714995084451,678.8483392439542,-38.390466039693635,7.366612421915365
10390,-0.0026847586348629215,690.1303046453639,-33.51520019102263,4.725622868289195
