time_step,charger_utilisation
10075,0.0
10080,0.0
10085,0.0
10090,0.0
10095,0.0
10100,0.0
10105,0.0
10110,0.0
10115,0.0
10120,0.0
10125,0.012121212121212121
10130,0.012121212121212121
10135,0.012121212121212121
10140,0.012121212121212121
10145,0.012121212121212121
10150,0.006060606060606061
10155,0.006060606060606061
10160,0.006060606060606061
10165,0.006060606060606061
10170,0.006060606060606061
10175,0.0
10180,0.0
10185,0.006060606060606061
10190,0.006060606060606061
10195,0.006060606060606061
10200,0.006060606060606061
10205,0.006060606060606061
10210,0.006060606060606061
10215,0.006060606060606061
10220,0.006060606060606061
10225,0.006060606060606061
10230,0.006060606060606061
10235,0.006060606060606061
10240,0.006060606060606061
10245,0.013636363636363637
10250,0.013636363636363637
10255,0.013636363636363637
10260,0.013636363636363637
10265,0.013636363636363637
10270,0.013636363636363637
10275,0.013636363636363637
10280,0.006060606060606061
10285,0.006060606060606061
10290,0.0
10295,0.0
10300,0.0
10305,0.0
10310,0.0
10315,0.0
10320,0.0
10325,0.0
10330,0.0
10335,0.0
10340,0.0
10345,0.0
10350,0.0
10355,0.0
10360,0.0
10365,0.003787878787878788
10370,0.003787878787878788
10375,0.003787878787878788
10380,0.0
10385,0.0
10390,0.0
10395,0.0
10400,0.0
10405,0.0
10410,0.0
10415,0.0
10420,0.0
10425,0.03106060606060606
10430,0.04621212121212121
10435,0.04242424242424242
10440,0.03636363636363636
10445,0.03636363636363636
10450,0.03636363636363636
10455,0.02121212121212121
10460,0.006060606060606061
10465,0.006060606060606061
10470,0.006060606060606061
10475,0.006060606060606061
10480,0.0
10485,0.12377344877344876
10490,0.1281024531024531
10495,0.1281024531024531
10500,0.12377344877344876
10505,0.09347041847041847
10510,0.08589466089466088
10515,0.0821067821067821
10520,0.0518037518037518
10525,0.04675324675324675
10530,0.04675324675324675
10535,0.04675324675324675
10540,0.04675324675324675
10545,0.15036075036075033
10550,0.19206349206349208
10555,0.18773448773448775
10560,0.13924963924963923
10565,0.12886002886002887
10570,0.10808080808080807
10575,0.10808080808080807
10580,0.09292929292929292
10585,0.08686868686868687
10590,0.05656565656565657
10595,0.05151515151515151
10600,0.05151515151515151
10605,0.18571428571428572
10610,0.23066378066378074
10615,0.20541125541125543
10620,0.17662337662337665
10625,0.14126984126984127
10630,0.11976911976911979
10635,0.09956709956709958
10640,0.09523809523809525
10645,0.09523809523809525
10650,0.08513708513708515
10655,0.073015873015873
10660,0.04271284271284271
10665,0.06392496392496393
10670,0.06998556998556998
10675,0.06392496392496393
10680,0.06392496392496393
10685,0.05959595959595959
10690,0.05353535353535353
10695,0.05353535353535353
10700,0.043434343434343436
10705,0.043434343434343436
10710,0.043434343434343436
10715,0.03737373737373738
10720,0.02525252525252525
10725,0.03888888888888888
10730,0.04242424242424242
10735,0.04242424242424242
10740,0.034848484848484844
10745,0.034848484848484844
10750,0.028787878787878786
10755,0.028787878787878786
10760,0.028787878787878786
10765,0.028787878787878786
10770,0.028787878787878786
10775,0.028787878787878786
10780,0.028787878787878786
10785,0.028787878787878786
10790,0.03636363636363636
10795,0.03636363636363636
10800,0.015151515151515152
10805,0.015151515151515152
10810,0.015151515151515152
10815,0.015151515151515152
10820,0.015151515151515152
10825,0.015151515151515152
10830,0.015151515151515152
10835,0.015151515151515152
10840,0.015151515151515152
10845,0.035642135642135635
10850,0.05786435786435786
10855,0.05786435786435786
10860,0.047763347763347765
10865,0.031601731601731596
10870,0.031601731601731596
10875,0.031601731601731596
10880,0.02121212121212121
10885,0.02121212121212121
10890,0.006060606060606061
10895,0.006060606060606061
10900,0.0
10905,0.04848484848484848
10910,0.05454545454545455
10915,0.04848484848484848
10920,0.04848484848484848
10925,0.04848484848484848
10930,0.04848484848484848
10935,0.033333333333333326
10940,0.033333333333333326
10945,0.02954545454545454
10950,0.02954545454545454
10955,0.02954545454545454
10960,0.00984848484848485
10965,0.00984848484848485
10970,0.00984848484848485
10975,0.00984848484848485
10980,0.00984848484848485
10985,0.00984848484848485
10990,0.00984848484848485
10995,0.00984848484848485
11000,0.00984848484848485
11005,0.006060606060606061
11010,0.006060606060606061
11015,0.006060606060606061
11020,0.006060606060606061
11025,0.006060606060606061
11030,0.0
11035,0.0
11040,0.0
11045,0.0
11050,0.0
11055,0.0
11060,0.0
11065,0.0
11070,0.0
11075,0.0
11080,0.0
11085,0.0
11090,0.0
11095,0.0
11100,0.0
11105,0.0
11110,0.0
11115,0.0
11120,0.0
11125,0.0
11130,0.0
11135,0.0
11140,0.0
11145,0.003787878787878788
11150,0.003787878787878788
11155,0.003787878787878788
11160,0.003787878787878788
11165,0.003787878787878788
11170,0.0
11175,0.0
11180,0.0
11185,0.0
11190,0.0
11195,0.0
11200,0.0
11205,0.0
11210,0.0
11215,0.0
11220,0.0
11225,0.0
11230,0.0
11235,0.0
11240,0.0
11245,0.0
11250,0.0
11255,0.0
11260,0.0
11265,0.012121212121212121
11270,0.012121212121212121
11275,0.012121212121212121
11280,0.012121212121212121
11285,0.012121212121212121
11290,0.012121212121212121
