time_step,charger_utilisation
10075,-0.008796159594255242
10080,-0.007764755200556012
10085,-0.006518433142066455
10090,-0.006020469421593054
10095,-0.0051188328063755655
10100,-0.0044939612963520465
10105,-0.003843703634357333
10110,-0.0035423496540784977
10115,-0.0031923121813933033
10120,-0.0027073051657575046
10125,-0.016555669134269112
10130,-0.023479322029204486
10135,-0.022859380930655437
10140,-0.01984685540329558
10145,-0.016719399043838075
10150,-0.01374093749109807
10155,-0.011880183119620557
10160,-0.009818014129891754
10165,-0.008407546817612934
10170,-0.007846500649946735
10175,-0.007072042300087579
10180,-0.006003987868340876
10185,-0.005144764972437114
10190,-0.004501995238671638
10195,-0.004151504438066522
10200,-0.0035205470198272177
10205,-0.0031178812869699156
10210,-0.0028394507321550513
10215,-0.002150118248268871
10220,-0.0012324888832198233
10225,-0.001140722835876353
10230,-0.001067005676775244
10235,-0.0010145947753077388
10240,-0.0008549323330950814
10245,-0.0016388494134330026
10250,-0.0019468394846831713
10255,-0.001863300305322666
10260,-0.001727018509928406
10265,-0.0014215914867984787
10270,-0.001269297667310161
10275,-0.0010821963846519703
10280,-0.0007926135195385454
10285,-0.0005998522044862087
10290,-0.0005245509996669314
10295,-0.0004635491710999239
10300,-0.00035006855271046966
10305,-0.0045451723883614585
10310,-0.0070818293396150865
10315,-0.006405535327825157
10320,-0.0054009609007340765
10325,-0.004195019404139436
10330,-0.0034476844815671164
10335,-0.0031889287299941365
10340,-0.0023397773960748217
10345,-0.002112353951660572
10350,-0.0018145399705360575
10355,-0.0015124554152462942
10360,-0.0012618928847061071
10365,-0.004746812270255404
10370,-0.006260444353908273
10375,-0.005554811597820651
10380,-0.004684977713686053
10385,-0.004009419451584282
10390,-0.003786683928562788
10395,-0.0032008879267055035
10400,-0.003064724498889953
10405,-0.0025190202928208976
10410,-0.0022307976924599987
10415,-0.00214909834605477
10420,-0.0016961470372890857
10425,-0.029074477667880384
10430,-0.037078372808490426
10435,-0.03634896703895827
10440,-0.03222429756871127
10445,-0.026293146623372565
10450,-0.022705489184082512
10455,-0.01992276128704376
10460,-0.016864078868144325
10465,-0.014804286401654968
10470,-0.012663172549802874
10475,-0.01027122713596278
10480,-0.008613763874442227
10485,-0.07512666804138682
10490,-0.10174181021117974
10495,-0.09871914232277006
10500,-0.08317787269283294
10505,-0.07229374945008085
10510,-0.06043821960793864
10515,-0.05289412154840608
10520,-0.047328982250339616
10525,-0.039816883723124426
10530,-0.03559534704629192
10535,-0.030042645304338943
10540,-0.02662381517196203
10545,-0.12826398989265178
10550,-0.1688090281759102
10555,-0.166082494277648
10560,-0.1367476858944201
10565,-0.11726581989069211
10570,-0.09905201542643817
10575,-0.08633519744055047
10580,-0.076778268036582
10585,-0.06866036674520926
10590,-0.060490634422864085
10595,-0.052925492921078274
10600,-0.04561218070327507
10605,-0.1771398476032604
10610,-0.22475811276390334
10615,-0.22159704831478638
10620,-0.1929628727077885
10625,-0.16066323580247305
10630,-0.1407231301453533
10635,-0.1215304524753567
10640,-0.10617929576846005
10645,-0.09489277735621841
10650,-0.08158288331482819
10655,-0.07203219272948284
10660,-0.06239190225388645
10665,-0.06802182742903032
10670,-0.06809567640698808
10675,-0.062318804646044265
10680,-0.05295064062611656
10685,-0.04510034724697796
10690,-0.039632646448560745
10695,-0.033874863335584385
10700,-0.028169427708048513
10705,-0.024337569586700275
10710,-0.021845328315713963
10715,-0.018975135482891436
10720,-0.01729469221720082
10725,-0.03281515429952415
10730,-0.038383962269771185
10735,-0.036679936486484314
10740,-0.03133319081192801
10745,-0.026311016219253476
10750,-0.022869645329888146
10755,-0.019846628267527457
10760,-0.01742326690656353
