employees_per_charger\company_charger_cost_per_kWh,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002,0.13000000000000003,0.14,0.15000000000000002,0.16000000000000003,0.17000000000000004,0.18000000000000002,0.19000000000000003,0.20000000000000004,0.21000000000000005,0.22000000000000006,0.23000000000000004,0.24000000000000005,0.25000000000000006,0.26,0.27,0.28,0.29000000000000004,0.30000000000000004,0.31000000000000005,0.32,0.33
1,89886.97466298465,86586.9838462848,85772.09659699874,87636.5410849204,72944.55239622905,75818.81463534199,76107.63374067326,75554.1185279948,76361.48278839036,76349.19785828672,74768.80038794139,78122.81181810588,75500.8931649099,77359.07222628896,76069.37820392194,77383.3605361674,77001.98866236622,76453.90305542383,74011.61441420758,74998.13882812954,75145.1650150082,79232.93668391978,75675.8013306831,42329.86093247153,7278.815629152229,7172.940763561965,7292.69269242656,7752.340633021319,7288.081007527359,7633.778830554144
8,87225.57242038826,85766.08191611958,87416.14669035231,87861.8511886427,77529.55262229597,75068.76498603803,76415.20099315178,77537.07076170448,77737.01260358359,73629.3276093091,75350.2148510852,76730.31813622528,76410.21745361267,74517.90932143622,75612.96033246278,76079.03272250113,77244.6012996972,77677.17978941476,79013.23010540183,75810.44157887144,75546.34452948434,75789.20696732844,74830.63065445423,40655.95572292621,6822.702061446809,7689.528656084827,6582.320815923252,6763.077146702867,7472.180691920124,7136.258548835684
15,83298.8966437752,85204.46129163864,82003.41100410264,83481.72500794346,73998.3108187709,73118.56161847248,74167.07836385943,72988.74458999666,73176.8145762243,72594.60599122784,73748.16351294745,74713.39119044458,72858.69352361403,72620.20872264734,74331.82809413841,74504.82224915556,72248.28540129589,74553.57021000152,74379.22756684772,74051.88140608548,72649.57686290437,71683.3680597331,72073.74089195016,42981.62203925313,6401.622690122454,6970.293539726538,7596.074680408439,7286.3470387565785,6980.54867051295,6638.161814374027
22,75286.12698922957,76047.30381484507,75093.05385283496,75797.03207573477,68735.45950597612,68009.90340285709,69132.6782512593,70094.42067053096,68838.847131431,67577.43751618749,69295.32844723444,69516.6704534646,68476.56672955175,68230.64350762774,68326.97898433819,70176.81388184476,67407.101943324,67575.75939936133,68336.19244313255,68050.66710466881,67559.72642399285,66656.0351335983,68534.82715086185,43560.33923506434,6231.845544462142,7220.561168864036,7527.5700943651755,7077.902044210778,7784.774871049314,8252.05790123017
29,69725.54347742193,68036.66115871123,66791.59313278338,67050.22802936846,63008.235958868296,61911.19602917634,62423.99643640266,61502.26132290095,61460.798933048405,62890.399195402424,63936.821739250554,61462.85002158484,63112.03880874536,64056.06707810113,62456.58923199179,62761.98928829259,61634.37101315129,61265.51629233645,63221.967145415816,62568.80620631706,62021.62120454865,62509.27239553986,61197.0441173621,41038.982814743526,7291.670000306035,7209.354454361913,7508.912471177904,8396.772395236203,7954.383781199976,7776.253173298877
36,64945.46790382779,62179.80015160521,62367.46469855507,61197.83798327565,58491.06286274393,56597.65079830249,55910.75272205196,57623.17063620772,57848.68017200269,56291.93758265904,57708.693827327086,57384.65629083626,58669.617003800944,57543.12061483012,57403.94191618394,57605.96160924877,57406.540334208556,57938.65588201196,56636.961006683865,58443.911977404496,58202.322224724114,56936.21605908592,57892.76934331253,40687.782653680384,6366.153587261055,7189.311878319183,7589.175907029916,8174.118844025348,7879.172108651143,7945.570521809203
43,56368.96735074233,57999.23106235063,57256.16011810306,58792.50872104186,52948.030066870095,54047.460958396034,52793.30412468622,53813.22018988869,53931.484135764644,53614.629780059644,54964.210402611,53644.29864571477,52990.39812009814,53403.03079500442,54788.549020100894,54299.65432572165,54104.8850264996,52842.95435869397,54114.349088848874,53100.427359956084,54156.84548847443,53143.249131053635,53025.39481283011,39209.08260044481,6812.795596810655,7005.859769911632,6381.566595972678,7621.505583761303,7626.351400881519,7606.285199728941
50,53058.60099926949,55415.18449532339,53505.889310464045,54290.69743881157,50023.90755427116,49522.083473701474,50464.2407669261,51520.47517316024,50920.07493512614,49455.848944022444,50724.66323161385,50334.74168362796,51136.21230239609,51196.44516647401,50291.20076653186,51005.8803257817,49753.59351603283,50081.91232006208,50880.82218380086,50743.47233709006,52230.85723484962,50641.527512802226,49933.52540902228,36937.86451728658,7511.31492055962,7921.08620668822,7386.646514071674,8664.779704231301,6425.473889152432,7435.093660218771
57,51495.542232012675,50270.37177730299,51436.611854663366,50546.29831640711,46130.954010064626,47610.64274124606,47047.50068849197,46863.12829907531,48119.17256299101,47944.403983440185,47586.8716189777,48032.06076269547,49131.39086467301,47403.015801734706,47189.93914181539,47291.38187200484,48382.209519582204,48198.57955811351,47640.335329653724,46652.182950792616,46120.58343239642,46912.418809070914,47590.402994986376,35094.691385613136,7862.262970418968,6648.790211671734,7809.659789945255,7907.024340312319,7760.498519847568,6881.65408330164
64,49236.64918019699,48600.30094476919,49095.76272796684,48452.923394697886,44472.630013065784,44138.54106952773,45422.00865410653,43945.2631473349,45204.9381346744,46870.68965805264,45423.68762990465,44347.191136379624,43070.561569390564,45562.289588270476,44586.98271103917,44380.95924941548,46076.73798754742,47731.48922519673,45186.75715279888,45267.22902104996,45351.95794237463,45741.21250802563,45618.11838170964,34041.49690968075,7705.919992090068,7635.52137020466,7717.2186445673,6996.921200012951,6030.858040211174,6688.231358625907
