employees_per_charger\company_charger_cost_per_kWh,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002,0.13000000000000003,0.14,0.15000000000000002,0.16000000000000003,0.17000000000000004,0.18000000000000002,0.19000000000000003,0.20000000000000004,0.21000000000000005,0.22000000000000006,0.23000000000000004,0.24000000000000005,0.25000000000000006,0.26,0.27,0.28,0.29000000000000004,0.30000000000000004,0.31000000000000005,0.32,0.33
1,88499.21281629374,86554.43368141454,88234.93043803093,87126.84579182285,75631.99287168613,76835.9153025052,75386.67296775081,75960.04403727516,75995.61092802334,76150.35770897663,75939.05146877031,76384.57422940369,75601.10663997404,76722.04576058146,76524.27316698352,76806.284510208,76723.02605804006,76406.08474651088,76227.70761748467,76349.96393096771,76379.4225079669,77304.97322381538,76599.44458652355,42661.9435984995,7404.247075989268,7010.004136631574,7762.703853131141,6975.171858973928,6906.285889007814,7530.922539350302
8,87532.74823050812,88048.2293966222,87160.17949487061,88106.66844378738,77389.55880870123,76713.17940432849,76555.98224987066,77505.25386920021,77424.5027782213,76238.70408322362,76081.59473508158,76126.61028220446,76902.32619453555,77037.97028168457,76492.15313219446,78009.08433441282,77046.06091129992,77194.53194099394,76518.78190709377,76810.6034051446,75259.39220074624,76915.88780056918,76641.2105963419,42125.86237706969,7122.749312113823,7448.758728136674,7126.393602968944,6847.525273844999,7326.903050919276,6875.909009020373
15,82550.23468709462,83986.8383701974,82631.68446295673,83532.93000519369,73766.60124106462,74532.94212839688,74711.96311542403,73259.71430366453,74016.77388585288,73982.14515669999,75055.90345712902,75075.60365209171,74317.7449175331,74575.14716590424,74856.48666282471,75617.65305654648,73269.50617199834,73420.60513964157,74109.81076570303,73069.86598204821,74007.47231783687,73713.61942650873,74016.64802559014,43191.84503760167,7315.684280050499,7863.954376393485,7272.579309258997,7042.296512555283,7273.666899562444,7342.830708443283
22,75046.77342249636,75404.07007061482,74786.32577355648,75553.22408322038,68106.61813104317,68279.99618181544,69237.02726414024,68984.5970209171,69264.78294828563,66935.9960757827,68946.1007151872,68461.98400656805,68302.47188634836,67932.25279522326,68549.27700523174,68968.06348761579,68163.88545149413,68325.16656714238,68852.96172903758,68027.43408362228,67790.56298999739,67996.48276703352,68768.0002221427,42708.95084872674,7455.880340320771,7320.333748246558,7608.39644286277,7602.137816459379,7526.457856332451,7322.447365531969
29,68309.6939730333,67610.19331664736,67630.87553110253,67775.67978881416,62712.619929981905,62374.212914930155,62803.87137967856,62589.08201364803,62495.83090115046,62656.440820672724,63178.80026715166,61790.76336149035,62921.8971671326,62842.757253993674,62592.45805590696,62723.94248868933,62356.10499066076,61951.31857036308,62596.0932970407,63183.196314752546,63778.126442869456,62812.53442246227,61800.613310942565,41781.786209125086,7501.044562973486,7424.355452391554,7377.590555892453,7893.083220508374,7304.875454204224,7441.229944405548
36,62231.03418303439,62194.99385294061,61603.627697522046,61580.81295296424,57618.901357434544,57798.00709111914,56970.707025936594,57780.06952935524,57144.473059799464,57619.45298142621,58057.10112337338,57992.29454731368,58133.083004351705,57551.21917716695,56920.50235708108,58176.08933140511,57559.771451257,57020.60644577394,57567.75325365975,57934.74033182638,57632.16067934327,56996.41416750084,57676.109087877565,40017.21426354239,7237.461293775791,7526.33533739611,7216.720681523363,7272.417046536811,7247.523872184862,7670.676488872976
43,57641.021068902584,57694.51817217315,57712.19452073303,58035.015906371205,54050.63898250472,53819.51511177546,53908.85641538607,53658.58966472201,53431.464812358005,53302.793518619015,53942.02943536312,53743.717207664544,53659.48038206091,53876.02683013633,54520.95501587089,53820.986206557296,54061.46735563708,54697.29472476062,53544.131448137414,53385.829005105465,54040.997068502526,53496.879785392,53199.23197361191,39027.01765906273,7737.629713260059,7223.658636369436,7560.200490299732,7272.180453146654,7299.434400239322,7228.4802814404065
50,53833.4035131243,54046.02551982688,53997.13249235143,53712.922286475,50955.22110755467,50050.42069555969,50917.74363327662,51242.96371272175,50075.90201212323,50523.30442019574,50472.43329354727,50612.57015220151,50585.28581404208,50326.42215852278,49932.38145376399,51358.02303927411,50342.26537067472,49726.53533019521,50908.1997828463,51188.8806283673,51046.99690091956,50750.80127082515,51030.74758916836,37182.857697786225,7019.114944021896,7658.574287088402,7502.680401082709,8049.304575449849,7520.654449432371,7378.15686116239
57,51353.663864517446,50716.81880081346,50474.36449726386,50409.756937952945,46104.90879465954,47477.900884164774,47155.94679593786,47602.114534158995,47428.02312304145,47705.18254906891,48018.05069538676,47502.84160377462,47870.99969319529,47675.42133060962,47566.78618158887,47566.40140458938,47124.30632711996,47427.60212531788,47570.53985296301,48398.013287929185,47738.808171133714,47262.67279931218,47130.22611583408,35552.729414272246,7569.220993155615,7377.950705544066,7832.862158160541,7264.989266324608,7592.048006897561,7470.035681381239
64,48748.96032002417,49484.066314860494,48875.511752451384,48068.2174953443,45024.95699454956,45161.575688749865,45782.71510865294,45770.49939750265,45552.42693251645,45510.90112954573,45479.1847005786,45046.54101737573,44981.200973254156,45847.76128655937,45037.69522004164,45190.476851402804,45775.816428019054,46034.618296262706,45292.32073288106,45083.17343319082,45883.67891212315,45864.43688337985,45539.73188554116,34796.520734231475,7887.963737814995,7504.065804421721,7236.423438380597,6795.288165433679,6389.19023795291,6923.873092404495
