#PersonPerHousehold,SpringInkWh/Season,SummerInkWh/Season,AutumnInkWh/Season,WinterInkWh/Season
1,880,819,863,1176
2,1316,1167,1270,1637
3,1564,1463,1525,1974
4,1564,1463,1525,1974
5,2054,1811,2069,2611
