time_step,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public
10075,0,139.2949269281869,0,0
10080,0,142.3546597094836,0,4.166666666666666
10085,0,141.5988470640657,0,0.31333333333333435
10090,0,142.69797450338345,0,3.552713678800501e-15
10095,0,147.10302997570273,0,7.769643233011745
10100,0,147.3259975276755,0,1.448477430710133
10105,0,150.525326445623,0,0
10110,0,150.8466078762581,0,0
10115,0,151.2145203797317,0,0
10120,0,155.7999999999997,0,0
10125,0,155.60281269974448,0,0
10130,0,153.97832331664512,0,4.166666666666666
10135,0,157.6560180737617,0,4.166666666666666
10140,0,164.99999999999918,0,3.662864673376893
10145,0,170.12067560580792,0,0
10150,0,177.41513104945932,0,0
10155,0,182.80035621355668,0,0
10160,0,191.766469634888,0,0
10165,0,197.9999999999973,0,0
10170,0,204.83801430477203,0,0
10175,0,211.1534954696817,0,0
10180,0,218.39999999999614,0,0
10185,0,224.19599999999565,0,0
10190,0,231.99999999999537,0,0
10195,0,237.79999999999504,0,0
10200,0,245.79999999999458,0,0
10205,0,252.7072465504199,0,0
10210,0,261.9999999999937,0,0
10215,0,273.999999999993,0,0
10220,0,284.1877324187855,0,0
10225,0,295.5999999999918,0,0
10230,0,304.59999999999127,0,0
10235,0,313.9430968281944,0,0
10240,0,325.90648471731,0,0
10245,0,334.0917388742767,0,0
10250,0,347.19999999998885,0,0
10255,0,357.79999999998824,0,0
10260,0,366.2844040078978,0,0
10265,0,375.9228500213683,0,0
10270,0,386.50535263243944,0,0
10275,0,400.92255590390505,0,0
10280,0,411.72513882294294,0,0
10285,0,425.534274246452,0,0
10290,0,434.8369934766387,0,0
10295,0,447.16153957206257,0,0
10300,0,458.29821337709984,0,0
10305,0,468.2586979129896,0,0
10310,0,484.19999999998106,0,0
10315,0,500.1970124900702,0,0
10320,0,512.2216462333184,0,13.080825337183386
10325,0,528.2675195689745,0,11.853162216438676
10330,0,539.4021552746949,0,7.638481102293935
10335,0,553.6301027722423,0,1.2736197143289676
10340,0,567.5801650103836,0,0
10345,0,582.0977668953901,0,0
10350,0,592.0280781622957,0,8.333333333333332
10355,0,606.9408547170408,0,8.333333333333332
10360,0,624.5512029516227,0,1.988259932727141
10365,0,635.7135760764293,0,3.552713678800501e-15
10370,0,647.962168302866,0,0
10375,0.001105155265217861,666.1683758868078,0,0
10380,0.008869641955182916,677.3072794806307,0,14.609629190815882
10385,0.03778792919011086,687.6747463539033,0,7.778148599720695
10390,0.05467591726913452,698.2320333806355,0,17.357266114080964
10395,0.06739410352648942,708.831544776888,0,11.788801953184963
10400,0.11893973833227856,718.1941340189916,0,9.328563985174844
10405,0.16706239875068435,721.3421520264151,0,7.295559164102668
10410,0.28948475459046447,727.4908401601546,0,0
10415,0.3145107910700503,737.1703792908937,0,0
10420,0.5474634892083846,750.0126372041998,0,0
10425,0.7084769057213288,749.4207678912853,0,0
10430,0.7693570341700678,754.6388031135989,0,0
10435,1.5481643768060531,771.2673237357567,0,0
10440,1.4158967113981844,779.1532186684119,0,1.9684032639472147
10445,1.7419327915343814,778.2764126566907,0,0
10450,2.312417058933437,784.8946955859557,0,0
10455,2.6069137516631833,796.4729478163821,0,4.166666666666666
10460,3.659105213970802,795.0611020200867,0,2.589448238631082
10465,4.935895395102273,787.1036023330279,0,3.552713678800501e-15
10470,6.089565727473059,782.2080257590823,0,0
10475,6.84301365537445,783.7056774782519,0,0
10480,7.902754313872866,794.6333858171106,0,0
10485,9.729882049472703,772.498127557414,0,0
10490,9.305946464140597,747.5225016632972,0,0
10495,13.202568561383647,752.7169498044402,0,0
10500,13.795101977606782,750.3129643127623,0,12.088183337734879
10505,15.162667756579225,732.0031117818901,0,3.2516496974266396
10510,15.863952268386615,722.2279147547446,0,4.531202837071021
10515,17.721105296464373,718.7053337087551,0,2.380176324762582
10520,18.547066392030914,692.0075134765376,0,1.9274467657585816
10525,21.66540729237692,658.0589324824515,0,0
10530,23.549169435598454,628.5792830356361,0,0
10535,25.87126191680971,597.6445621457201,0,0
10540,29.41114383948863,591.8101947724788,0,4.166666666666666
10545,30.402518699130443,530.8775367508949,0,3.0096090088764953
10550,27.174830272627077,462.39283922583854,0,0
10555,29.79617230237979,462.41182483400536,0,0
10560,29.73632430736386,453.9072430530993,0,6.088532283102246
10565,30.421223373640483,434.6188274173575,0,2.319649697426639
10570,34.37274234459926,414.5658460034625,0,0
10575,32.08735750450919,406.95293951046824,0,0
10580,35.49310893309995,376.87508056720105,0,1.9218656164355803
10585,35.6538271997517,347.50872063059677,0,0
10590,31.722414856020944,333.56874182885474,0,0
10595,34.49569068953136,314.1099950260231,0,0
10600,34.54413577597951,309.0517925482344,0,0
10605,31.31187486987189,264.6013838253854,0,0
10610,23.09148739134255,213.41847542386063,0,0
10615,24.707940155242124,217.57678390503946,0,0
10620,26.39133376186285,219.6187587895529,0,0
10625,28.553663388493568,220.22792155183328,0,0
10630,29.505597680700852,223.97181675111196,0,0
10635,30.043554166054925,227.62304700340874,0,0
10640,35.90523260169108,226.02297875072176,0,0
10645,35.92433350125317,230.3118804451889,0,0
10650,40.404412684077066,227.75819910365342,0,0
10655,41.66559104512963,232.67985464891555,0,0
10660,39.295985658464026,242.08588144888992,0,0
10665,39.83817258193822,242.90687323433028,0,0
10670,42.4473377370883,244.34538050439716,0,0
10675,41.084533569179406,250.9240878089464,0,0
10680,44.49635251579856,254.23347433881455,0,0
10685,41.98171638480354,261.29316523287014,0,0
10690,45.94698360556681,261.2544941278499,0,0
10695,48.387820375382326,263.68325904598765,0,0
10700,48.80945976217067,269.9489585452833,0,0
10705,51.05253127732734,271.97301752272534,0,0
10710,52.28037514312338,276.2094548612376,0,0
10715,54.81197656679686,277.0584134698805,0,0
10720,56.13691216825382,281.8357604052073,0,0
10725,57.071435761530346,280.9251111372998,0,0
10730,56.50882456621078,280.5562120567749,0,0
10735,57.733085994577735,280.9635177237602,0,0
10740,55.19908225949283,281.67608844993856,0,13.918910520960974
10745,56.80219373210664,278.4405257573758,0,4.8562011086896195
10750,58.653332548970404,278.2794516143472,0,0
10755,60.60398625851341,279.02384006042587,0,0
10760,59.49489289288449,278.3063994694726,0,0
10765,60.60613829713894,271.6978103777437,0,6.816147473277303
10770,60.198164954894196,267.22953499930753,0,2.3370311959020036
10775,60.87917300000492,264.51800367697854,0,3.583333333333333
10780,61.42953328630259,266.9178468276393,0,0.4241305394052306
10785,58.89172198441609,254.78127385530894,0,1.7763568394002505e-15
10790,55.36601718691404,242.37106778381857,0,0
10795,56.70489309169756,245.10135156001814,0,0
10800,55.627464985245425,242.81246143024146,0,303.4528317285181
10805,54.29972201473728,236.05689105536644,0,119.10950403795538
10810,55.35194049699989,230.31433398482997,0,96.05079243325412
10815,56.01099050808274,227.64053021193078,0,127.556445415931
10820,51.785463925014305,221.1915692014823,0,101.58127956158135
10825,50.445421310976734,206.49843677356944,0,67.72019031470832
10830,48.96293342575397,198.06852254306375,0,58.300255865850616
10835,45.88825347728006,189.3876383931099,0,71.6112075775086
10840,45.12937111647446,185.15641398457157,0,70.01211165051976
10845,39.092141368272316,161.35570097374404,0,51.837115039629836
10850,30.902482928209082,138.8576150628702,0,28.895381246729748
10855,29.756803298762055,139.4838914206712,0,20.332182347449354
10860,29.030691371506155,134.6159338126179,0,113.589855550843
10865,26.375662202870284,125.20395155614335,0,42.98714150472293
10870,24.181402743082895,117.37813729461179,0,41.56076149568065
10875,22.91336866652891,112.83126442220193,0,56.40083076700411
10880,20.640843317013733,102.02687794902344,0,50.04367303282438
10885,17.798620566857544,88.13926772974888,0,38.06872917381753
10890,14.484134087015402,76.83995721646409,0,40.60088563630085
10895,13.660549920340744,65.89243226301748,0,35.760681533154795
10900,13.383333647455071,59.61666635254523,0,25.00160325334995
10905,9.663169657641935,39.720830342346964,0,25.30399046036416
10910,3.7439897284206283,16.45601027157935,0,15.124331455067741
10915,4.299994446556091,16.77647224282375,0,8.3796240654858
10920,4.281132287439749,16.91886771256023,0,24.543311608695255
10925,4.581522458997465,16.827750995017613,0,14.670000000000005
10930,3.667762474589688,17.532237525410284,0,10.385456565378057
10935,3.567730443124377,17.55996476055247,0,7.29232752359395
10940,4.380207192889124,17.18218324473354,0,12.707290305297631
10945,4.64640161299071,17.035463903014904,0,6.79682914418518
10950,4.8548478494201115,17.04309231807742,0,6.7437463461421
10955,5.4157606838727395,16.38423931612724,0,0
10960,5.0786240208137325,17.721375979186238,0,4.166666666666666
10965,5.13012164221881,18.018197469933625,0,4.166666666666666
10970,4.640813584351707,18.359186415648267,0,8.333333333333332
10975,4.564508165187576,19.435491834812392,0,8.333333333333332
10980,5.141353940054177,19.313725206274256,0,64.12941305399619
10985,5.636108641093522,18.963891358906448,0,32.89288437181387
10990,4.9077668171893025,20.49223318281066,0,19.196575783534414
10995,5.416875299856916,20.881454257783997,0,29.891459641933054
11000,5.422153510806936,20.69312442526512,0,12.760785127419007
11005,5.271133085640205,19.98064894378619,0,11.986196799270541
11010,5.574882732768908,19.75030211617864,0,16.418125066825997
11015,5.089945505950651,20.510054494049317,0,11.608551681091283
11020,4.507182403712431,21.49281759628753,0,10.184603863074619
11025,3.863018290341448,22.347794409405513,0,12.499999999999998
11030,3.965321963144964,23.434678036854994,0,12.687104057898473
11035,3.988176456927574,24.41182354307238,0,9.224015880883378
11040,3.5803241638743337,24.703328602772455,0,228.59275654675108
11045,3.7415465833810746,25.085232529646536,0,102.32179487214346
11050,3.4090793961927126,25.769296869294656,0,86.44224524519927
11055,2.921587317030545,26.546225927792307,0,138.7711712774053
11060,2.9997304863264556,28.20026951367348,0,109.94245032169958
11065,2.478360955765272,28.91504230559511,0,76.12132065486661
11070,2.3863675396223103,29.930817624012544,0,81.13159442133144
11075,2.7457636232945775,31.654236376705356,0,53.596784455207874
11080,2.980952259390587,32.21904774060935,0,63.24105552821041
11085,2.4065949007964127,33.22367853836325,0,40.86661033830391
11090,2.6687982724976127,33.35967031471382,0,29.993879219587352
11095,2.64509471817448,33.474880918097504,0,19.167106905741786
11100,2.0568726228839815,33.233998088168335,0,253.42512029099393
11105,1.9605468650638185,31.860073568333416,0,144.79983438965672
11110,1.8009869268169907,30.71988770568743,0,118.95435793144794
11115,1.6435860553844424,30.714942011258344,0,137.71344674726086
11120,1.1094319490496363,30.17974139656911,0,106.25303486305668
11125,1.1691412946609867,28.346808902806526,0,87.94001675415628
11130,0.9292994158261496,27.49179445128429,0,84.75908056350163
11135,0.7185057249447132,27.00047318707873,0,89.90541001546985
11140,0.6967129395714453,27.68887420657019,0,67.27747200245672
11145,0.5171849846816639,25.2915243345796,0,63.24080537783907
11150,0.1575649707150752,21.312346677665072,0,48.36128858789526
11155,0.26033024599945775,22.64479609470869,0,23.128759040204102
11160,0.20116548428081465,23.473236866583196,0,192.70639686668187
11165,0.11250213911263707,23.6849231307243,0,90.85464693763636
11170,0.23127345531957672,23.323258818117715,0,68.85304039792855
11175,0.04619505414002986,24.04258385041307,0,67.29811354000685
11180,0.07109169441069427,24.190842156895318,0,45.859543917797154
11185,0.07057812467264987,23.722177630005284,0,44.78837092730027
11190,0.035837641992446045,24.288728951422126,0,46.59324433197935
11195,0.03353849197638012,23.508649641708065,0,49.56075157837571
11200,0.023105617603196155,23.626986245753837,0,27.844499199584767
11205,0,22.94061621836442,0,39.76672659648511
11210,0.018292659467766204,22.581707340532187,0,37.8459762513715
11215,0.022727941772756742,23.777272058227197,0,29.62374296621167
11220,0,24.150604200692566,0,58.07629730768115
11225,0,24.329558788719087,0,31.00043116644414
11230,0.018357230864799248,24.64940006900681,0,32.477518118509714
11235,0.014858441768304111,26.172557422131415,0,18.220760560462494
11240,0.006069944990159711,27.073568913545152,0,21.803994084413226
11245,0,27.472456308878524,0,18.094311383901477
11250,0,28.285266575799973,0,11.602394404252827
11255,0,29.20985054626465,0,7.539458800390961
11260,0,30.599999999999923,0,10.401019912391668
11265,0,30.3959999999998,0,9.252157519842179
11270,0,30.799999999999923,0,7.865002346596928
11275,0,31.99999999999992,0,4.16666666666667
11280,0,33.38630101367655,0,25.570846785737366
11285,0,35.19999999999996,0,10.099844681821695
11290,0,36.999999999999986,0,7.318202714408718
11295,0,38.400000000000006,0,1.076895165810539
11300,0,40.00000000000003,0,0
11305,0,42.600000000000065,0,11.50940268075822
11310,0,43.80000000000008,0,13.545543770282654
11315,0,45.60000000000011,0,10.76950453414732
11320,0,47.00000000000013,0,3.38273292948673
11325,0,48.80000000000015,0,0
11330,0,50.00000000000017,0,0
11335,0,51.40000000000019,0,0
11340,0,53.200000000000216,0,30.872284392942873
11345,0,55.00000000000024,0,23.253742546936948
11350,0,56.40000000000026,0,7.614926311176701
11355,0,60.0898094495309,0,11.906482620094526
11360,0,61.00000000000033,0,1.6676927326971587
11365,0,63.40000000000036,0,10.472970570871217
