#PersonPerHousehold,SpringInkWh/Season,SummerInkWh/Season,AutumnInkWh/Season,WinterInkWh/Season
1,720,671,737,958
2,1078,1031,1077,1340
3,1218,1176,1253,1615
4,1338,1304,1402,1738
5,1465,1421,1508,1911
