company_charger_cost_per_kWh,charge_pv,charge_work,charge_grid,charge_emergency,charge_held_back,utilisation,total_revenue,revenue_per_charger,avg_cost_apartment,avg_cost_house_pv,avg_cost_house_no_pv,avg_cost
0.03,11.115209413365465,402243.24444435764,177.04671980232533,35.4693517645222,0.0,2.125651327156022,12067.297333330791,38.25971353316702,0.00589054787422181,0.005736131418560897,0.0057732938217720485,0.0057728901557924745
0.04,5.5643782751761615,400945.8773704608,261.04777846286396,5.856454150068515,0.0,2.18469396926176,16037.835094818467,51.66652941651292,0.007697847936733252,0.007693272181260706,0.007707109704833432,0.007706102822670222
0.05,10.125734548635524,402758.58391500014,211.40052926452427,8.065532291560018,0.0,2.192919287353685,20137.929195750123,65.10223775891583,0.009539495522113625,0.009601692847390122,0.00959681573116284,0.00959613420123375
0.060000000000000005,3.4236608067522902,400062.8303234964,121.64907044808827,2.0961010704922955e-13,0.0,2.1738046190437204,24003.769819409885,77.2741718097172,0.011634086879013442,0.011493756198825927,0.01148897437789363,0.011491876257205437
0.07,8.98099284840588,403738.30196394824,131.23611186640198,7.856677264596012,0.0,2.172937895754876,28261.681137476546,90.13170991831252,0.013535300746963158,0.013415066888781274,0.013411250247637074,0.013413562679813777
0.08000000000000002,7.182804608331733,399774.4078750198,192.82101659236488,9.605541310618394,0.0,2.187410973097126,31981.95263000171,103.51848847261505,0.015528875066500636,0.015346269685657905,0.015340780476111983,0.015344061621293958
0.09000000000000001,11.706293878363761,397475.89939700224,201.04197509140513,9.593014508065396,0.0,2.1310565122085317,35772.83094573015,113.60963506960603,0.01728832196741519,0.017305668315671787,0.017222811230020188,0.017228988146329522
0.1,9.028701141899065,402929.6300188805,148.06377053242514,5.462874350227835,0.0,2.1713561928311456,40292.963001888194,128.0180334708096,0.019212787931867422,0.01907060671511709,0.019129740427539475,0.019127534805595873
0.11000000000000001,9.263009868148089,404541.47982843756,255.57718027074986,3.9493340185894006,0.0,2.1871756725407336,44499.562781128305,142.67925089478388,0.021029348613461528,0.02098101745834005,0.02109958820954458,0.021091450162391383
0.12000000000000002,6.157200010052079,403246.84042571805,344.67414919868344,0.5656428090266861,0.0,2.1671125164795706,48389.62085108646,154.70278402990735,0.023120240291720145,0.022987995140209074,0.02303706318410907,0.023035467434576337
0.13,2.4322130001329354,403887.76366768475,332.9056575703308,18.82904989850517,0.0,2.191134856290325,52505.40927679886,169.35477813476223,0.024891211331996538,0.024825620657846888,0.024917752028464826,0.024912083148767663
0.14,8.946019168217894,402761.5429988858,177.12766395589884,4.3154941279516805,0.0,2.168310887068957,56386.61601984426,180.50203484390897,0.027065024812469012,0.026686459509838573,0.02674224994248179,0.026744189924180577
0.15000000000000002,9.570071127413172,402453.1090368014,213.6045083738546,5.716087737158253,0.0,2.17256336662847,60367.96635552043,194.41403109488985,0.02885963467006016,0.028892369957071798,0.028650889490714336,0.02866986542590865
0.16000000000000003,5.502686607311956,405342.5052424171,283.9732219171818,9.800139588382727,0.0,2.234161840581116,64854.80083878698,211.11080894112402,0.030882982259525665,0.030773528339356322,0.03070803013359002,0.030714835713883063
0.17,8.610843232209332,404000.60041144554,241.10901657673116,3.836930773104541e-13,0.0,2.15921103170188,68680.10206994599,218.22483952432637,0.03247485506296427,0.03248659986594491,0.03271115191774157,0.032693400261662266
0.18000000000000002,14.682344932018513,399094.3770028803,192.1362361306734,4.2099657093785936e-13,0.0,2.1606127288568375,71836.98786051871,230.44088650069347,0.03495057681896147,0.034227227890556926,0.03449812164732504,0.03448853862026774
0.19000000000000003,5.167955737527844,405381.49408411543,182.03776580852158,3.8546943414985435e-13,0.0,2.1616852793842942,77022.48387598245,244.1108800971654,0.0359844086092293,0.03657298754158615,0.0365669285217146,0.03655849596857473
0.20000000000000004,4.0873522866406145,401992.99183568463,179.2138647402922,5.975334844857375,0.0,2.1916755409186965,80398.59836713763,259.3474708681309,0.038225217488755826,0.038166976091213146,0.03840322836545075,0.03838525270801616
0.21000000000000005,13.633850781206409,407068.5977338199,361.9829780278956,10.745970233496186,0.0,2.2037107660980797,85484.4055241023,273.86071298815637,0.04087814723791834,0.03995588859529255,0.04028451908055179,0.04027288822487151
0.22000000000000003,8.350893687822674,401782.16276679904,266.00731203578016,18.329832715699553,0.0,2.1709131924585137,88392.07580869627,283.6998991114397,0.0422219680072345,0.041959161036404805,0.04206948262988918,0.04206514014686706
0.23000000000000004,13.831016538776625,398096.56638273166,190.76088340931153,2.504663143554353e-13,0.0,2.1511842998222224,91562.2102680284,295.2195910567212,0.0445020542486039,0.04446632781334866,0.04422197828928477,0.04424063830301319
0.24000000000000005,2.981410837268746,403292.6445754343,204.894048698744,0.7387201271782828,0.0,2.147616222329338,96790.23469810448,308.5271647569957,0.04672720457883076,0.045822795939366855,0.04599141569211241,0.04599368159576178
0.25,5.828392100087863,405241.3441163634,212.34895823244466,1.9555012590231673,0.0,2.2142103870718897,101310.33602909115,326.71738087599914,0.047844745737724556,0.04805240693012843,0.04770875240016074,0.04773134852311435
0.26,8.096184066967226,394978.67149319325,263.4259835717744,0.042364847325405464,0.0,2.1207874437613854,102694.45458823048,327.86974926887893,0.05022748341385897,0.04978923185843041,0.04962170584132034,0.04964168159670257
0.27,5039.586152656585,218580.9791920805,178391.19581979862,0,0.0,1.2019616535920823,59016.86438186165,186.39617058347068,0.05112361291153556,0.04953854011472729,0.051422823452117065,0.05129698965308285
