employees_per_charger\company_charger_cost_per_kWh,0.03,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002,0.13,0.14,0.15000000000000002,0.16000000000000003,0.17,0.18000000000000002,0.19000000000000003,0.20000000000000004,0.21000000000000005,0.22000000000000003,0.23000000000000004,0.24000000000000005,0.25,0.26,0.27,0.28,0.29000000000000004,0.30000000000000004,0.31000000000000005,0.32000000000000006,0.33000000000000007
1,79935.8423257735,80292.13295555447,78884.13688974116,79240.12129818895,76984.3201234292,81530.67586745383,78113.50249609126,77623.13217215447,78938.27474119286,80051.61735080455,81021.30311068214,78885.22194396604,78301.54984528347,76826.05808352178,80346.57327445516,79142.89440299137,80027.72030453238,80852.3290679322,82765.48359230897,81139.27816053171,76298.64183314757,80346.94338167329,79202.18396011452,81599.32351664166,42730.11900028392,6796.073036525988,6212.844927410647,6031.415784831699,7011.1780951082055,5681.005285808103,6392.545321916184
8,80665.50130577125,80674.94860566455,81336.47181863237,78780.25479423045,80912.28935600218,77787.57741281416,79858.12946881462,79923.41688701924,81689.6175747625,81052.82604542891,82677.23598968102,80852.47410782594,79318.53089563015,79345.69227922242,81067.49518345359,80994.1489004107,80393.88914914893,79905.41972944493,81690.04484785405,80334.95134789954,81721.38547464288,78962.3346156966,81828.9427946617,83252.9298208728,43602.44847255377,6160.639590517096,6696.319397804201,6819.223020650717,6222.750679162165,7521.029154228463,6468.486987167226
15,83386.69837104043,85155.92592952806,86478.72130817927,85246.01381271284,81705.90915636277,84773.22838241103,85240.61731812482,84822.72407151945,86148.22434945611,84231.87683915091,84244.02508033713,85258.82228130926,86378.44550101303,85998.897690429,84419.3504237681,85376.2907916746,87851.73547386054,83373.98151111862,85646.20828700149,85961.34885748387,85615.56211887402,86818.48069939595,85125.84695830816,84112.15042608375,42967.23714094307,7543.866985950731,6797.581451708276,5745.932446041042,6493.906052118158,7115.820849958093,5596.477153930345
22,83839.58045964273,85597.86611412774,83600.85658190741,83917.66222917213,84920.13413430295,83900.46156356434,83983.4888488264,84248.00696704858,83083.89345944258,85263.0926328849,82466.16209603884,85858.58728309337,83406.1277966287,82407.19178214333,83097.93446037106,82841.02329662528,84599.59434132146,82102.89735169621,83554.75645390796,84051.55190370996,84472.00975247016,84129.88353037904,82560.26855247264,84315.70268078873,45028.551755193235,6662.225739830647,6664.428929689092,6767.743972052123,7351.47348877236,6706.432467672837,5965.815331281709
29,76964.67676632444,76135.20782529864,76967.37682019522,77627.10277394133,76744.60035359883,77448.18039446906,77558.86623528042,78137.32690591119,79218.04738238781,77145.89605521671,77899.59322173323,78302.94006547336,76230.2416358544,76789.70239836727,76668.33857276093,77538.40018168287,79161.72927390716,78154.78297009862,77267.83733340856,79185.92868050806,76908.7319395289,78866.48159418796,78053.38733468321,79711.42936828893,41509.955826645855,6757.974793575417,6565.36885288004,5789.021692744865,6504.636022991961,6307.551284985626,6899.944380711119
36,72174.77850301072,72398.31422773536,72460.83834383487,72486.15164365305,71591.37071980728,73479.96473583388,72360.02766438991,71741.924704036,71406.41449418398,72211.11814847657,70971.02131994738,70699.34785031021,73942.86670339314,72970.54116410455,72098.05131260009,70076.31498645058,72119.51732400397,73344.60025599996,72727.91154941532,72488.53351817012,71946.30316612453,70551.49019678218,71371.4419691012,70584.94507617896,43933.69899522932,6495.452825694109,7435.896089492364,6282.330284518581,7088.0123335353355,6310.1555744911675,6491.833237146302
43,67231.57506845758,68293.82449178494,67690.35034840189,67109.9553976454,66508.07738066748,68726.96358369279,68368.5536208613,68630.88851849448,66096.44687416924,69357.164999366,67864.76383008157,68360.59085319904,67001.44484757281,68046.41737109753,67310.56855239488,67991.7664807567,67856.73377602221,67980.40359939041,69300.64457634755,66891.9777318369,67644.47277738195,65043.4342902026,65711.9430586626,70425.83378850138,40836.20374699845,5750.560310295489,7389.169923810084,6449.946653378573,6612.120566663704,5695.557680493426,6455.994188369273
50,61348.98508583863,64240.86819251374,64231.79441676576,64172.68946882594,64333.281818043266,65843.5791459596,63534.16103322591,62697.9007127737,63091.95378957709,62965.13092594931,63336.40028744221,62017.738532240706,63032.40278873789,64621.31231676182,62138.39521094342,62463.63426775802,62733.43087074164,63189.692992771365,62195.964892404176,63986.352269380244,63018.03270107471,64643.228617999,66274.96470546832,65909.66075198182,38269.94138028229,6536.4266497500985,7055.980765164208,7115.652740583473,6730.540327760334,7242.860850896218,6853.382273262887
57,59800.211591797,60557.604507397846,61049.400492813795,59885.75302494227,59649.63728812743,57522.80108406729,60938.0694908974,59893.05640492916,59413.360214452085,60605.92825202707,56689.50116512469,58955.92778810757,59980.480080954,59043.29435964221,59520.602853405,60639.81279494241,61346.96547776012,60621.85706459793,60357.97785721164,61072.65508412298,61056.18419269007,57566.86090323114,60790.06483778083,59575.320708655745,36426.25864302516,6279.779273072926,6362.491569536219,6773.427127246599,6690.520300670839,6771.1119194138355,5941.295252275604
64,58086.6630564223,56105.057637412705,55948.5321594871,55908.664488535076,58440.13144408633,57090.75413281316,60290.50587410609,56136.36706274827,57054.2152410859,57991.82564363599,57314.83875009915,58396.54995899677,55345.73335608873,58041.783298712726,57602.79091855411,57072.2015077398,58525.67764137812,58679.56167560603,56828.15501963604,56695.10727246037,57984.799153199296,57028.04921560572,56929.12216036285,57070.484222156556,35942.68750041141,6221.14049107546,6169.070022992267,6654.2742015555095,6338.358239368725,6476.599060071578,7317.913823776973
71,56835.89539103411,54546.04095395868,56343.66241765282,56555.85716262797,54991.374448605246,55790.964799614056,56120.50792437071,55451.789914227906,56865.95595900288,55280.66040061711,55907.20519908909,56065.16744845838,55723.926065015614,56527.4028764019,55003.13080711759,55857.27040338501,53603.057316365055,53844.72655332603,57642.31639287565,54641.031960925495,56390.93229316169,56158.37388232666,56033.32164462178,56154.39751042578,34185.27484945176,6312.501829730675,6557.523783001068,6311.744571085457,6259.99504970348,6693.766557990609,5932.333326000233
78,54075.62978604575,52740.930303449466,53266.2388861949,54299.833976009126,55502.58691619133,53399.26177777996,53543.52871509015,52805.803091165755,54510.43047211193,52971.90362911842,53012.483125864645,54859.15865009672,54365.20110636244,54942.12036563845,55661.11469087136,54155.52145406065,54541.002364700646,53178.71143145459,55210.600330464156,53283.41610447905,53769.937195232495,55758.909409502114,53370.881412609,55307.57877617144,34719.36930585902,6347.22542763324,6211.533925348489,6266.18675394483,6740.646145030623,5992.145751029829,6848.093097455289
85,51923.36013800553,51880.76549178124,50191.484689526675,51325.57482628394,51801.5877186759,51226.46124714662,51838.06199218793,53764.43287167377,53250.348917912685,51597.45571722533,52474.4596034099,52858.12102129377,50106.35893230731,51045.342874578986,51712.824344563145,53057.1813759315,53438.03990271536,53937.77338679999,51221.69090592672,52349.752385818785,51361.743437776706,51426.96737518852,51651.06671270882,51383.73814810921,32855.097012867795,6320.061772582798,7153.627391915047,7180.904125680828,6430.032935061735,6044.912690592978,6546.080992092864
