Uid,Name,Longitude,Latitude,Occupants_distribution,Occupants_values,pv_density,pv_capacity_in_kW,distance_commuted_if_work_and_home_equal_distribution,distance_commuted_if_work_and_home_equal_values
20801,Bayside,145.01815,-37.94184,8560;11076;5322;6894;2581;595,1;2;3;4;5;6,0.122190642,4.055352143,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.3298838437170011;0.3357972544878564;0.17148891235480465;0.09039070749736008;0.04794086589229145;0.022808870116156284;0.001689545934530095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20802,Glen Eira,145.04451,-37.90112,14359;17008;9233;9845;3459;1168,1;2;3;4;5;6,0.117082826,3.859372097,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.3452325761087931;0.3444598980064905;0.18235203214340906;0.08653994745788904;0.0353886570854582;0.00602688919796013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20803,Kingston,145.10104,-37.99969,12096;14071;7154;7552;2613;732,1;2;3;4;5;6,0.170969203,3.813774834,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.16367521367521368;0.2517094017094017;0.19561965811965812;0.11987179487179488;0.08536324786324787;0.06944444444444445;0.055982905982905985;0.032158119658119655;0.01891025641025641;0.006730769230769231;0.0005341880341880342;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20804,Stonnington - East,145.05527,-37.86768,4133;4883;2314;2662;1140;282,1;2;3;4;5;6,0.111091718,3.93794187,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.4968325791855204;0.3411764705882353;0.134841628959276;0.027149321266968326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20901,Banyule,145.08513,-37.73039,10576;14357;7599;8063;2878;947,1;2;3;4;5;6,0.143130583,3.756017831,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.23076923076923078;0.29711719542228016;0.18904823989569752;0.13023323192814718;0.09676952049833405;0.03940315804722584;0.01622482978415182;0.000434593654932638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20902,Darebin - North,145.0168,-37.72128,9394;10984;5895;5177;1939;1071,1;2;3;4;5;6,0.116111731,3.506288589,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.26829954954954954;0.34853603603603606;0.24634009009009009;0.11148648648648649;0.02364864864864865;0.0016891891891891893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20903,Nillumbik - Kinglake,145.30963,-37.56693,3103;6365;3795;5027;2099;664,1;2;3;4;5;6,0.225743564,4.096545616,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.21351100092965603;0.22280756120235512;0.1540130151843818;0.14099783080260303;0.0734428261543229;0.048961884102881936;0.041524635884722653;0.03191819026960025;0.018593120545398203;0.010536101642392316;0.011775643012085528;0.004958165478772854;0.0037186241090796405;0.0030988534242330336;0.0018593120545398203;0.004028509451502944;0.004338394793926247;0.002479082739386427;0.0009296560272699101;0.0021691973969631237;0.0015494267121165168;0.0015494267121165168;0.0012395413696932136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20904,Whittlesea - Wallan,145.07457,-37.46463,11197;19557;13549;14772;6351;3308,1;2;3;4;5;6,0.222004954,4.28447536,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.09766994683859292;0.18465105757267278;0.1770727293292614;0.1426309241036082;0.10225087659766995;0.07872412623006447;0.04694039135844361;0.03529012555140821;0.029691211401425176;0.021094898767107795;0.013516570523696415;0.008370093880782716;0.007974211062097048;0.00791765637371338;0.004750593824228029;0.007861101685329714;0.007634882931795046;0.009048750141386721;0.007295554801493044;0.005598914149983034;0.0018663047166610112;0.0013007578328243412;0.000395882818685669;0.00016966406515100103;0.00028277344191833504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21001,Keilor,144.86666,-37.73124,4494;6878;3640;3904;1501;523,1;2;3;4;5;6,0.128538698,3.789728097,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.20810514786418402;0.24132895217232567;0.2909821102592187;0.17889740781307045;0.07265425337714494;0.008032128514056224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21002,Macedon Ranges,144.69792,-37.39297,1710;3340;1545;2007;892;335,1;2;3;4;5;6,0.296366241,4.27708196,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.2099712368168744;0.19894534995206137;0.0934803451581975;0.07334611697027804;0.10834132310642378;0.08916586768935762;0.042665388302972194;0.03307766059443912;0.026845637583892617;0.00862895493767977;0.018696069031639503;0.014381591562799617;0.0364333652924257;0.013422818791946308;0.007670182166826462;0.003355704697986577;0.011505273250239693;0.006232023010546501;0.0;0.0014381591562799617;0.0;0.0023969319271332696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21003,Moreland - North,144.94275,-37.71246,6939;8164;4632;4266;1753;1105,1;2;3;4;5;6,0.10810385,3.554940251,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.4103952355170547;0.3427179209528966;0.1689225771521386;0.05793178126691933;0.015159718462371413;0.004872766648619383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
