time_step,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public
10075,0.0,102.16899019147645,14.82383315239096,1.7763568394002505e-15
10080,0.0,104.90496263054133,11.427718504436672,0.0
10085,0.0,107.22224201168832,9.358261229109395,2.6645352591003757e-15
10090,0.0,108.51377987048987,7.23234683989475,0.4302831409474972
10095,0.0,110.6088590490029,5.5301302781405175,0.0
10100,0.0,109.06817424729701,4.691666666666666,1.7763568394002505e-15
10105,0.0,108.0321618517975,4.208152674612893,0.0
10110,0.0,107.46100907733558,3.1737371770349037,0.0
10115,0.0,105.38472596953947,2.8217925634899075,0.0
10120,0.0,106.48806840123164,2.2033104060773985,0.0
10125,0.0,105.08718764787177,20.851368770196938,0.0
10130,0.0,102.90000000000092,26.089063142947964,0.0
10135,0.0,107.26275775007397,20.03125905449938,0.0
10140,0.0,111.10000000000105,14.940242712619789,0.0
10145,0.0,115.23720824489976,12.089734701620912,0.0
10150,0.0,119.73241123196382,9.066690279191203,0.0
10155,0.0,124.74990960291518,7.321233089995355,0.0
10160,0.0,128.05151338438137,5.941045303122686,0.0
10165,0.0,132.77868811023376,5.281049832756759,0.0
10170,0.0,137.71793045121126,4.618156209959729,0.0
10175,0.0,142.82424016528475,3.668757490782734,0.0
10180,0.0,148.7000000000001,3.5015111831183185,0.0
10185,0.0,154.5459999999998,4.690080840816894,0.0
10190,0.0,160.49999999999943,5.171331839426365,0.0
10195,0.0,167.39454716639597,4.5710347996033125,0.0
10200,0.0,174.20237519872066,3.792518239356804,0.0
10205,0.0,181.71046506565796,3.594445599995001,0.0
10210,0.0,188.47624360309715,2.841387191829982,0.0
10215,0.0,194.88927994917765,2.516172013921227,0.0
10220,0.0,201.3020927064388,1.9425216878332345,0.0
10225,0.0,208.5702753187105,1.5348139954924982,0.0
10230,0.0,214.99903039733954,1.141408216135058,0.0
10235,0.0,222.50328919554275,0.9041666666666667,0.0
10240,0.0,231.1499999999954,0.7622831085438672,0.0
10245,0.0,239.13899999999495,1.688200905579311,0.0
10250,0.0,247.93380908767614,1.602083333333354,0.0
10255,0.0,258.8499999999939,1.2780857346644101,0.0
10260,0.0,268.91022583096907,1.0809611704554243,0.0
10265,0.0,278.5727686017476,0.9476075688349789,0.0
10270,0.0,289.1281574455345,0.8291666666666666,0.0
10275,0.0,297.15829970884437,0.69131326221318,0.0
10280,0.0,305.1031748725582,0.5891576190137952,0.0
10285,0.0,315.19863788668255,0.5291666666666667,0.0
10290,0.0,323.7562246476729,0.3766458319338283,0.0
10295,0.0,334.9441300230685,0.375,0.0
10300,0.0,345.27244993556917,0.375,0.0
10305,0.0,355.6994317638754,3.7208333333336947,0.0
10310,0.0,366.346263209899,4.155432271913251,0.0
10315,0.0,378.5886702397408,3.5346387646142583,0.0
10320,0.0,390.8752392187131,2.795083559107249,4.884981308350689e-15
10325,0.0,401.7626422861824,2.3178358552715803,7.993605777301127e-15
10330,0.0,412.92831844390514,2.01875,3.552713678800501e-15
10335,0.0,425.6965069236067,2.01875,2.6645352591003757e-15
10340,0.0,437.16970070167963,1.5376904787939667,3.552713678800501e-15
10345,0.0,448.8652094169448,1.4,2.6645352591003757e-15
10350,0.0,460.6258686865467,0.9927777434974084,7.105427357601002e-15
10355,0.0,472.3051481304476,0.6916666666666667,0.0
10360,0.0,484.7170868533306,0.6645629066282442,0.0
10365,0.0,497.0726295418664,8.745036931255068,0.0
10370,9.04905716736682e-05,509.25429938501225,11.161285165011906,0.0
10375,0.0015991415578608691,521.7635751162858,8.579309588359,0.0
10380,0.005647847328086772,535.4843745966934,6.8662865568464575,5.329070518200751e-15
10385,0.004667236384358776,546.8061035744822,5.6998072639489905,6.217248937900877e-15
10390,0.014856948677995852,556.3879025826849,4.230744062317621,5.329070518200751e-15
10395,0.021809654407269716,567.6380973348832,3.0580177643948754,8.881784197001252e-16
10400,0.029397052884564293,574.8420781344644,2.5697558643896485,4.440892098500626e-15
10405,0.05417011843946199,581.0433923503734,1.9073719479502877,1.7763568394002505e-15
10410,0.08651645406225299,588.0493996130065,1.7786253535311178,5.329070518200751e-15
10415,0.1127433157903913,592.3131303012561,1.53366107960645,0.0
10420,0.12701553581772032,601.5288535244888,1.4625,4.440892098500626e-15
10425,0.18104025701620077,606.5031136627954,45.81482237316888,1.7763568394002505e-15
10430,0.25544116022115676,610.5553177076545,57.03988083436643,0.0
10435,0.4057565300175581,626.1422840004764,47.15454446843847,0.0
10440,0.4164780638612692,641.4092123353078,39.62229513192894,2.6645352591003757e-15
10445,0.6310017954417153,649.8348467549824,32.01218742950808,4.884981308350689e-15
10450,0.9712128873429161,658.7958139711875,25.25695963971196,0.0
