employees_per_charger\company_charger_cost_per_kWh,0.08,0.1,0.12000000000000001,0.14,0.16000000000000003,0.18000000000000002,0.2,0.22000000000000003,0.24000000000000005,0.26000000000000006,0.28,0.30000000000000004
1,178.47032104533162,280.0201990664509,200.47137067517437,200.4817906278037,198.1035450710724,129.16386777168955,221.3140038118552,33869.235644471984,33758.77027801287,34019.266202034654,34188.70930153912,31518.157004788794
6,352.64989571408626,284.91380931981837,248.03357461241723,207.99201277918235,199.31893795385938,217.1407568728546,199.23595310291265,32344.992353647514,32412.83662497135,34051.195117594594,33416.37439855712,31981.353621866296
11,965.7671727245114,1039.053329714872,546.9459427824428,370.0243475063825,410.45777106128656,521.9222315993884,460.61052347363193,34967.20468060044,30876.849050814482,30666.994855946024,33459.3924296946,34357.83591334035
16,2696.5115174362927,2208.585641761134,1798.2035087895529,1261.484114486605,1113.878183646955,1153.9053901760433,1269.5052335528271,34514.499097797605,32518.41885401284,33568.911820765046,34919.945160393996,32793.05636867983
21,3316.873856528107,3708.1056794705546,1587.4118021513648,2491.2140369479202,2319.869741084996,2495.0808034811616,2190.807663863004,33337.31293333456,35565.615801155276,32353.751810892303,34164.60213140586,32402.36511350532
26,5377.764055634308,4908.907061935967,3076.122341091437,3494.975907644498,3382.4480402627514,3775.1547221766814,3108.5992961030015,33473.26926800433,33843.12035332282,33381.22555109273,32528.505167217045,33204.406856926085
31,6565.831741362639,5505.661562333879,3729.0769268610725,4382.002954358455,4780.09512670793,4949.014105290435,3785.964463438976,33335.216918880375,32278.2877379598,33835.272361766445,31373.132339093423,33744.934136347525
36,8470.874165236748,7968.7909339124335,6290.229757986798,5891.216149378537,5957.606526710391,6125.787169402768,5926.79897545406,33034.23664953855,32275.538883162553,31226.103278100254,32477.359668963578,32555.957729962145
41,9381.551516898366,8641.426293798566,5750.856475329199,6668.087035503229,6057.812499774845,6024.127028044452,6409.132775456475,35278.69171774295,33874.821765876375,34227.21230281677,33503.37770851654,32354.897417258002
46,8599.680511081535,10196.302643083174,6983.294154853736,6990.241615541606,7113.706623534014,6690.649515915067,6862.542563604853,33549.19247988135,32617.429225710785,35547.880522981635,33026.115188110314,31358.503847534546
51,9254.446916693825,10096.174791305677,9170.84924983394,7842.356576207596,8550.57288254533,7309.771020407302,7629.6156437531845,33260.91773015562,33344.81593149897,34111.80979752178,33639.19042710343,33283.647567558626
