employees_per_charger\company_charger_cost_per_kWh,0.03,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002,0.13,0.14,0.15000000000000002,0.16000000000000003,0.17,0.18000000000000002,0.19000000000000003,0.20000000000000004,0.21000000000000005,0.22000000000000003,0.23000000000000004,0.24000000000000005,0.25,0.26,0.27,0.28,0.29000000000000004,0.30000000000000004,0.31000000000000005,0.32000000000000006,0.33000000000000007
1,80198.29016368877,81555.97960453018,78029.86599798437,80373.92992173914,79489.4768738537,64768.20040704146,69354.2767523887,67540.81739622912,68402.77032854578,69169.76544615747,71490.56355477415,69466.36369888112,68588.80028583219,68269.6729059025,66289.59623672836,68410.27182228085,67112.37659639781,67561.84671519713,67887.1912810701,69856.72125908839,65756.49350382444,68018.6336827859,65843.52623360007,67645.74056325782,59875.940518722535,6931.0240176776115,6619.91641264801,7447.835994228214,6854.282295452626,6567.752382417317,6316.78452573964
8,78356.7002452366,79292.94127888515,76821.4581230597,76590.82541196774,79444.09038235509,68037.56051387891,67065.49694544109,68024.99147841221,68456.0326197448,68448.53361934255,70896.80142030274,68143.53731024242,65482.149769870666,67725.20499054057,67241.40130546517,69908.01348712565,66773.4940376681,67922.81382147326,67786.22353361617,67219.11013986939,66748.48631089141,70295.93092706188,66769.0135672962,66181.83030874933,58103.58979254872,6756.3444428724815,7034.9486559867355,6849.455960933455,6553.614030795166,6919.355298857466,6621.8212577791965
15,80088.14729450656,76560.67968064213,78663.73031043049,80852.5543505405,78237.36965030934,65640.16919718722,68901.95327087256,65110.68186897632,67325.87035213514,67466.37543903921,65872.6091601429,65230.08991172371,65050.38439696407,68771.85732354419,66990.49377622346,66700.75432180533,66019.33956840783,70017.1632493039,66621.66746731517,68705.22788014341,65817.70929944661,66622.30128956481,67048.09646357098,64188.08800848776,59040.166942359254,6812.096683552646,7160.468083366445,7104.515799193389,6812.744738670143,6985.211114247573,7001.366409807879
22,73523.57297196027,70927.0922869494,72733.23778696568,74374.3357378016,73361.80499904626,62981.55824524914,66050.0272257944,64759.24292622728,65390.96931944541,65425.607801245504,65519.494131927495,66175.8477542659,64592.7683892912,65310.473383089404,64988.53491223659,64821.06341537969,65806.3795024088,64485.774338346346,64583.94125156582,65736.51242065267,65386.619239537074,64195.13793823477,66175.76989946362,64643.696732620934,61038.977750819635,6075.764239706417,6945.140554835688,6242.959252517941,6130.566226897838,6915.121590224087,7028.257630924561
29,66016.62056451541,64152.49265359667,65759.77363700356,65900.9759069003,63492.11921437699,58250.67333686132,60672.019122033045,59735.36460218498,58734.56303237095,58907.5313220025,59718.141945039446,59386.30699710792,59074.47555960717,59088.09049524017,60258.3453180637,58751.152583652016,59722.43754293223,60616.480290081585,57710.8434811497,60735.918834181015,59649.610662536834,58355.618353505866,60584.86777283116,60035.51258541298,55334.749286005375,6005.292869328958,6562.802995029966,6949.507380976279,6458.466206864757,6918.010318163735,6632.745608754191
36,59167.70921779227,58789.49967363255,60697.62301063311,59806.378290912246,58914.80703363621,55566.664506357716,55667.79621415041,54087.794574955966,54360.01765705453,54077.91926163732,55401.696221665785,53855.98658010216,54223.775732624614,54112.515322936975,56163.552543107595,55190.6837551433,54632.240824105866,53919.88231305239,54522.745989988776,53984.96756547245,54231.133859921625,53400.57151887056,56017.32950399191,54937.76618388157,51080.41406030335,6145.253868744439,6796.413156596999,6194.175896695391,6868.489981193004,7681.101203621611,6311.138188564243
43,54089.85537598094,53363.852864052395,55354.19729089262,56218.536786473116,55646.267484576565,52162.610865571645,50496.604246261726,51578.61999144188,50076.417599174194,51502.38634577515,50807.160332354484,49783.25035000892,49698.64572585412,50855.23307930147,50693.77268889005,50503.70028262966,49245.18774879501,50733.53387387081,51774.00773491159,50171.46664411639,50221.63902697502,51438.81444907306,48907.28025780475,49212.195713913476,49469.40977599923,6767.35082490207,6407.930285855974,7250.440427404304,6858.696675827755,6322.614623718556,7096.122880366419
50,51339.52155247974,51124.706871980125,51367.29689605768,50588.72058137851,51181.91955107367,48147.33843727127,46809.24856286632,47607.73739958977,49149.11611717385,48822.959221048994,46436.736969772406,48134.299564389294,47802.294040224304,47324.20523412887,47877.612457045114,46393.57297902959,46620.767246531286,48790.62112587455,47173.64865208251,46770.68193665649,47750.79425364111,48960.773127662105,48028.042023065056,46806.57362995514,45780.70887632261,6761.0312991573155,6510.940954376983,5605.167177753972,7745.630027260151,6979.9257233919225,6131.449610670483
57,47362.18010747043,46912.7847336845,48044.906613521074,48375.73212372113,48735.191892444804,43888.084878958856,44072.56868953962,44564.08374069728,45651.65982729038,44720.73684000772,43470.440583257885,43714.595635367776,43650.17098053695,44756.99751520462,45018.64519061914,42312.706283175496,43574.70330377113,45096.31442483655,44000.3181813956,44663.59099573319,44461.36426336058,44521.0856976075,44758.12854718071,42458.505462779256,42861.82153635132,6732.087062954422,6214.745451829228,6257.2423020801225,5542.043815921105,6662.14237577131,6418.648268619911
64,47292.32671325652,47203.52824177506,46358.123070421396,45242.286648346126,46655.38810931641,43059.23351170701,41939.799060646015,39864.35021251584,40890.83774296423,43644.542538694455,41417.39835356922,41708.094875934,42325.92359650627,42205.1517479834,42209.342710715835,42004.57799601251,41037.72053630286,42301.23148028378,42986.44951225904,43244.593342919085,41863.29009336349,40673.15713172665,42650.12275099977,41508.96167899037,41379.52412844061,6405.144774010947,6508.944370993566,5600.209692626332,6375.986266324717,6784.225824415678,7236.963519611888
