1, "Melbourne CBD", 47285, -37.814, 144.963, 18.59, 18.16
2, "North Melbourne", 14940, -37.799, 144.946, 19.11, 19.54
3, "Southbank", 18709, -37.829, 144.957, 18.85, 18.83
