company_charger_cost_per_kWh,charge_pv,charge_work,charge_grid,charge_emergency,charge_held_back,utilisation,total_revenue,revenue_per_charger,avg_cost_apartment,avg_cost_house_pv,avg_cost_house_no_pv,avg_cost
0.03,6.832662876279637,200762.07469741994,110.87255642476659,22.332087864515266,0.0,2.1614722251718383,6022.862240922597,38.409575112329925,0.005882037067330429,0.005761402695676236,0.0057689919736678376,0.005770635513700454
0.04,12.988667215716717,202502.7011211509,101.24550386961043,7.886220808401113,0.0,2.2161204166096593,8100.108044846008,52.921048786878735,0.007654890740637708,0.007627959679381399,0.007704453364830991,0.007698978254226112
0.05,7.705268828725628,199767.87005050768,208.50241171748843,6.091811316402122,0.0,2.1773628994761745,9988.393502525367,64.47693358116106,0.009514084935952419,0.009782426674342912,0.009573578798814613,0.009586511923473698
0.060000000000000005,1.4343747420160944,196896.88287117265,78.07820453193085,21.07823142805986,0.0,2.1069853606816054,11813.812972270305,74.77084792036909,0.011745854465467182,0.011577349534452717,0.011477820627325106,0.011488990384340802
0.07,2.2368339896054525,201510.3072172639,113.52114891881462,1.9539925233402755e-13,0.0,2.1998840959672568,14105.721505208421,91.48176750512222,0.013327533337662237,0.013294736714926654,0.013433822832917693,0.013423606945591256
0.08000000000000002,4.392845190788604,198613.94861053972,215.22668513331757,5.2857149145729725,0.0,2.15376985982104,15889.115888843166,102.50851574480656,0.015509712643922815,0.015341302893174077,0.015366831665185451,0.015367877966452786
0.09000000000000001,5.946095737861599,196276.69746415535,97.89199026267391,5.074787567580124,0.0,2.1149745000248084,17664.902771773875,112.08328035048807,0.017400600592580685,0.017190694204343396,0.0171821282335552,0.017186370333625554
0.1,15.56351236233027,202681.34111134778,128.59927598330628,0.2118664658463434,0.0,2.158882065711281,20268.13411113467,127.30291330241819,0.0192653220509259,0.01927707420961901,0.019154538531003053,0.019164467400455753
0.11000000000000001,11.477004007670917,199388.052696304,51.537026444882954,1.5987211554602254e-13,0.0,2.1627967303115234,21932.6857965935,139.2955069073809,0.021311623665333165,0.0211742131846705,0.02109727551108598,0.021104805028114806
0.12000000000000002,0.6265637701687361,200982.19207671666,87.74045352515125,9.831021462164383,0.0,2.200719082460747,24117.863049206015,156.5213717043564,0.023032669522094484,0.022840931013796955,0.022949298608779662,0.022944322807769132
0.13,11.091067287144842,199765.21617136948,159.03348849823573,2.2737367544323206e-13,0.0,2.181024350214636,25969.478102277993,167.2239237509407,0.024901506098779606,0.024831053734707745,0.02481548486669793,0.02481784649128469
0.14,4.768501708663029,199063.91701176148,103.3554411954111,2.0250467969162855e-13,0.0,2.13687615903092,27868.948381646635,177.5490598700435,0.026836711448279003,0.02694112046665993,0.026637564179850685,0.02665898503249502
0.15000000000000002,2.0398096596687925,202514.86666071776,87.45471669531564,2.2026824808563106e-13,0.0,2.1784822013886167,30377.22999910759,192.93926288331775,0.02890556992808516,0.028776880095431324,0.02866977688853413,0.028681348423138093
0.16000000000000003,3.9922684703932503,202400.5943788141,88.72099071315685,30.593942331662337,0.0,2.2357296715181763,32384.09510061013,209.32092673204193,0.031171479349077852,0.03040751297491677,0.030586808794016308,0.030586703552484388
0.17,19.66617051276077,202049.84028287895,141.86118269696038,1.9597141418878756,0.0,2.193276886139397,34348.47284808938,219.4418951561545,0.032580147681303545,0.03274645898860692,0.0326945351115671,0.03269606463749366
0.18000000000000002,12.243050868422687,196972.07513080936,88.62514349465651,6.902466430398389,0.0,2.143628128484658,35454.97352354548,230.2153258115672,0.03456389304333537,0.034252228918739684,0.03434285027411362,0.03434102738680749
0.19000000000000003,8.45658981825217,199678.2118316005,125.48000197318297,4.093950496497097,0.0,2.1747406442418313,37938.860248004086,242.19116095433748,0.0364007118365772,0.03665034944261959,0.03672703641225843,0.03671656064504106
0.20000000000000004,1.0121559951123866,197521.39028430395,65.11491188694431,15.16918192579377,0.0,2.1110290631770194,39504.27805686079,249.33871946745813,0.03889255121581413,0.038090860754938706,0.038311035754745704,0.03830909560114686
0.21000000000000005,10.723773252025353,199461.25088542516,137.4225560726254,30.576839944103078,0.0,2.2047484531735084,41886.86268593902,272.2520683983937,0.04011195279249522,0.03987773733960648,0.04015116237025147,0.04013390964766737
0.22000000000000003,8.911035674760642,201281.5557501148,76.79543495992675,8.974722020353106,0.0,2.178573266862301,44281.94226502506,284.12177603075463,0.04279575100412192,0.04219033617370167,0.04223864579192212,0.04224567191436033
0.23000000000000004,5.962636388150244,202131.0442860867,54.401264811610424,1.5631940186722204e-13,0.0,2.182857217950555,46490.14018579993,300.35129658345704,0.0444080634565657,0.04411520241004106,0.04400712815009809,0.044020541858295396
0.24000000000000005,15.383171932640124,197885.66492120916,90.40134380159047,0.8847940663001346,0.0,2.135093075663737,47492.559581090296,304.2765988995045,0.046040902713559526,0.04623534408015467,0.04583243853653981,0.045858112475374684
0.25,12.044730681863925,201483.89298583605,99.05530337762036,2.327027459614328e-13,0.0,2.166925921895571,50370.97324645893,321.10627067928345,0.04757276379981889,0.04699072647652555,0.04789714892407739,0.04783369989384547
0.26,19.03086714127463,200016.72113920178,165.99383548365893,12.135345540635356,0.0,2.197516159271058,52004.347496192386,338.0919013907983,0.04989277229408442,0.05024699064158397,0.050021546286917296,0.05003339322049566
0.27,5385.316257901536,108985.30564795437,86345.03862122352,5.029691438138638,0.0,1.1880464678116631,29426.032524947535,185.19599022123901,0.051348904410451146,0.04601557074509517,0.051677933001877105,0.051332942629738844
