Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA4 by STRD Dwelling Structure and TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"STRD Dwelling Structure","Semi-detached, row or terrace house, townhouse etc. with two or more storeys",,,"Semi-detached, row or terrace house, townhouse etc. with one storey",,,"Separate house",,,"Total",,,
"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme",
"SA4",
"206",7069,8212,19,8076,7285,22,23058,17712,37,38205,33212,76,
"207",3523,3847,22,5656,3375,9,38433,27049,81,47619,34272,114,
"208",4565,5504,17,6889,6078,21,36090,32112,66,47547,43696,100,
"209",1297,3323,8,3135,4006,26,49560,57296,117,53993,64627,150,
"210",1201,2976,8,2054,2586,7,34280,41210,117,37532,46771,127,
"211",744,1818,8,3834,2970,26,55651,69557,136,60229,74351,177,
"212",1309,3404,10,4830,4973,34,63361,87125,271,69497,95504,311,
"213",2439,6136,11,4752,6987,28,54112,81654,221,61301,94781,260,
"214",695,914,0,2874,2145,26,31208,37012,109,34780,40073,130,
"Total",22843,36149,99,42107,40400,189,385744,450735,1147,450694,527284,1435,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
