time_step,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public
10075,0.0,1.2307036146879584,97.42619613847866,0.2977855101351561
10080,0.0,1.06824092214109,82.39411435796937,0.09395333794920413
10085,0.0,0.8158778201061103,71.41485869228006,3.9968028886505635e-15
10090,0.0,0.6540572031662769,61.492827294421275,2.220446049250313e-15
10095,0.0,0.4583822888314518,51.17984344841124,8.881784197001252e-16
10100,0.0,0.50000000000005,43.22334107026417,0.0
10105,0.0,0.45935248842478205,37.12098022137463,8.881784197001252e-16
10110,0.0,0.4500000000000164,31.39553249437774,0.0
10115,0.0,0.5500000000000086,27.756945802862262,0.0
10120,0.0,0.6,24.62124327747268,0.0
10125,0.0,0.562257292013052,197.88143356469604,0.40198090889519955
10130,0.0,0.3500000000000013,253.23341699816189,0.0
10135,0.0,0.35,223.07517063278033,0.0
10140,0.0,0.3361152628311499,191.12386974334495,0.0
10145,0.0,0.35000000000000087,163.29970683806138,0.0
10150,0.0,0.5499999999999999,138.26977885182487,0.0
10155,0.0,0.6499999999999999,117.20394130280127,4.440892098500626e-16
10160,0.0,0.7000000000000013,98.42909691454477,0.0
10165,0.0,0.7,84.55118458761963,8.881784197001252e-16
10170,0.0,0.8000000000000009,74.78386772277617,0.0
10175,0.0,0.9500000000000008,65.57907862727805,0.0
10180,0.0,0.9500000000000062,56.13586164583862,0.0
10185,0.0,0.9698599054706134,57.0445462626565,0.0
10190,0.0,1.0343558249126172,53.412084301639624,0.0
10195,0.0,1.05,46.342465020252064,0.0
10200,0.0,1.2494558697505345,37.19823911884782,1.3322676295501878e-15
10205,0.0,1.3047220879156582,32.975752872117944,1.7763568394002505e-15
10210,0.0,1.5500000000000003,28.832637990744807,1.7763568394002505e-15
10215,0.0,1.7000000000000153,24.69093637669853,0.0
10220,0.0,1.9000001763309293,21.512389991899717,8.881784197001252e-16
10225,0.0,2.1000000000000036,18.876315506292343,0.0
10230,0.0,2.250000000000003,16.72066032879977,0.0
10235,0.0,2.3000000000000034,14.826955481441058,0.0
10240,0.0,2.3555905175676326,13.117881109037217,6.217248937900877e-15
10245,0.0,2.748812888785852,23.0411580589844,0.9527786275934869
10250,0.0,2.7409496679140912,26.74676545386763,0.0
10255,0.0,3.0500000000000043,22.89139427926704,3.552713678800501e-15
10260,0.0,3.2867749598791076,18.374551368342278,2.220446049250313e-15
10265,0.0,3.556328287463934,15.684019571949797,2.6645352591003757e-15
10270,0.0,3.8000000000000056,12.848483513018497,8.881784197001252e-16
10275,0.0,3.9000000000000137,10.548296179367822,0.0
10280,0.0,4.056444348876729,9.098108942980895,5.329070518200751e-15
10285,0.0,4.1455168644396325,8.09755072252675,0.0
10290,0.0,4.555817255949027,7.017000522139639,0.0
10295,0.0,4.911410273408248,5.87199206505193,2.6645352591003757e-15
10300,0.0,5.350000000000005,4.992064520825922,4.440892098500626e-16
10305,0.0,5.932182153033434,42.475000000000016,0.0
10310,0.0,6.556441746400158,53.9790842327515,0.0
10315,0.0,7.346109748111708,48.0196986453321,1.1102230246251565e-14
10320,0.0,8.00857527849068,40.19515050291312,1.7763568394002505e-15
10325,0.0,8.481989216680814,32.65056557681008,8.881784197001252e-16
10330,0.0,9.135110614240912,28.180657814768033,2.6645352591003757e-15
10335,0.0,9.668575026092945,25.23825767483492,6.217248937900877e-15
10340,0.0,10.448092755093768,22.205879216845247,0.0
10345,0.0,10.689433710835132,19.189209366261878,0.0
10350,0.0,11.133658738179982,16.69549776227385,1.7763568394002505e-15
10355,0.0,11.744970014921185,15.294924066064123,4.440892098500626e-16
10360,0.0,11.926404266290621,13.246605646214832,0.0
10365,0.0,12.406621297575938,48.029360455032716,3.552713678800501e-15
10370,0.0,12.687992081802442,60.50730241728926,3.552713678800501e-15
