employees_per_charger\company_charger_cost_per_kWh,0.03,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002,0.13,0.14,0.15000000000000002,0.16000000000000003,0.17,0.18000000000000002,0.19000000000000003,0.20000000000000004,0.21000000000000005,0.22000000000000003,0.23000000000000004,0.24000000000000005,0.25,0.26,0.27,0.28,0.29000000000000004,0.30000000000000004,0.31000000000000005,0.32000000000000006,0.33000000000000007
1,78671.04518094279,79272.00166316445,78679.10234111594,79729.3742450008,79968.91531746926,68619.55916746939,69805.675890424,67777.53453439163,68285.49996033144,68761.33947086506,69163.48462743127,68993.89950153918,69549.10311880193,67443.76494844639,68826.01982572378,69119.61625760069,68287.59260932602,68114.56453878665,68876.08082278504,69044.7774215636,67573.65489887426,67649.64865980831,68035.12504812489,68616.22436042703,60441.216490720995,6832.2555229805075,6620.972871672341,6983.265431271481,6787.140822867233,6707.816224991515,6484.8704242656295
8,78956.65726938646,78521.22652323164,78414.31404413324,77964.91283086724,79474.94457973306,68679.87916619371,68299.18767041237,68584.37535676453,68916.5710132493,68486.3487158647,68318.63880299972,68206.22205780073,67721.2607158307,67907.78407595097,68333.9690095944,68603.75294128754,68668.16948775909,68751.87940745414,67176.38216230163,68366.48049765907,69122.98043148058,69323.43464410368,68023.11863784633,69475.43932927615,60254.186525666824,6520.709186037675,6938.003278766828,6812.434319936337,6625.049030336264,7298.4641480857845,6737.739185687467
15,79488.29397708282,78168.66271047489,78598.44402133983,79402.00680799673,78256.99194373366,67598.1899047996,69050.84882672587,68062.19983166677,67233.63719467651,69930.99656695692,68699.96354884209,67747.37502133964,67447.1447814159,69345.12401877811,69229.41449471275,68013.03400076753,67797.49532235616,68745.84472756788,68233.34812628216,69066.61131896288,66307.0054189667,68554.53318792254,67988.15132618598,66910.82140672297,60583.41584957352,6854.502039808365,6709.493224881472,6664.833939353921,6877.263603776923,6467.122983756573,6781.959578028376
22,73206.12228337205,72453.32601424071,72931.4772366759,73201.33970242264,73589.24088263909,65597.11904821383,66234.1480680969,66305.90403678086,65930.02056998713,66001.44279633032,65072.235748846666,66533.11271029836,65731.83108867097,65611.30244146803,65603.75560917481,66041.5239523379,65969.55427842392,65244.63410147982,65814.30987441988,66237.43898311205,65977.49384439306,66014.46128790549,65314.959759609555,64934.741356312334,60490.96295720558,6586.896890418337,6633.075259036744,6296.141439838774,6205.80040864487,6448.195138608773,6657.3064543916935
29,65303.661345246495,64834.11227842466,65966.52315195023,64967.68131751585,65251.15403107409,60359.522328548206,60156.57447136628,60778.566291637704,59977.432338314866,60299.675357009655,59712.50276555216,60553.55359193179,60450.58002541162,59689.58660770961,60369.98752185519,59714.91072465146,60441.32138748087,61248.65699617547,59669.98691119774,60709.21436010528,60562.652190644316,60410.18035169888,60639.22380997095,60280.54219984174,55702.55705044964,6792.277794042293,6601.790148559154,6682.033255910252,6489.780126230917,6658.095894672724,6603.370984454863
36,58112.57796511226,58684.96437939357,58850.31327334889,58722.38198601477,58548.30976816863,55884.932821993054,55115.63090899847,53920.14171636154,53981.67861412796,54750.13009402011,55292.51568406118,54636.91467178509,55890.8198815649,54520.688132516676,55442.33001484856,55136.62185930572,55028.85011336306,55001.846195624,55697.53804452524,54854.98280481745,55364.35002019012,54593.500009023,56105.04286276868,55481.563812478336,52116.956476123516,6498.868829510507,6637.083230953218,6050.064262015119,6607.207572857096,6595.333482465412,6280.5154589512595
43,55173.59107590141,54724.44129813816,53999.327309302214,55093.554255976225,54079.281469091155,52119.310767730276,50718.8654556388,51165.68905120467,49975.15711357476,50728.51222749234,51380.15975011056,50870.597738948505,50689.5879528517,51984.5493470885,50922.29589105773,51261.76064138494,50320.062025031075,51160.55247321067,51573.16977202648,51467.762320304304,51029.417974819655,51035.83545585582,50253.527507809165,50916.091579763364,48057.68522751729,6978.656006353414,6589.992525492641,6723.502214112891,6406.427244860698,6525.613029264639,6680.593758201333
50,50813.324101687336,50842.87699047876,51740.680067684996,51124.82991483509,50798.20481257301,47000.692140944855,46794.259467129436,47514.33891341803,48691.53025192761,47728.074247074175,47195.07539738184,47321.82056592817,47525.47871644511,48151.43257220188,47379.11620714086,47365.77881490812,47449.88733456702,48347.2050947456,47756.04890066779,47053.7733716047,47335.41511879443,47890.93402603879,47861.48572730937,48001.67328994815,45415.45836400321,6570.723616245434,6408.538157082074,6217.983374736623,7121.505206356462,6444.384288181407,6225.03687610457
57,47730.08405994352,47292.727822712586,47666.494249599105,47892.671629810546,47562.74921644924,44189.81538520986,45013.14046149859,44763.055691386005,45037.87921560374,44486.222511948225,45058.722267511235,44604.05835053981,44530.35336559089,45049.66109887244,44799.145994775026,44171.51869231801,44131.180010217184,43721.56709293164,44288.27043854416,44606.75731130599,44525.970801157266,44590.39578892608,44341.08070446172,43615.3511030083,42404.07447181994,6714.799494001934,6435.458553654196,6401.158846657238,6561.202310577019,6427.629722589851,6058.245537372965
64,46612.242173685234,45812.80587733793,45802.571984745744,45550.115045946746,46216.7091578711,42397.335264170084,42898.51169576943,41757.404254798166,42277.35315182744,43000.859280063305,42678.15492671317,41958.9281234846,42429.31796396054,41795.32557261396,42883.828234322675,42054.97660765702,41742.05946256953,42539.09622069253,42636.02612028095,42750.69118216926,42648.05022259665,41705.06377251263,42750.61652000338,42920.23678000088,41153.627884730115,6751.779684956677,6618.937554190568,6595.886202752354,6516.0217162206845,6639.831338406504,6954.686479445774
