#PersonPerHousehold,SpringInkWh/Season,SummerInkWh/Season,AutumnInkWh/Season,WinterInkWh/Season
1,1754,1346,1517,2677
2,2038,1819,1855,2887
3,2400,2321,2320,3351
4,2898,2582,2599,3928
5,2898,2582,2599,3928
