Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA4 by STRD Dwelling Structure"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"STRD Dwelling Structure","Flat or apartment in a one or two storey block","Flat or apartment in a three storey block","Flat or apartment in a four or more storey block","Flat or apartment attached to a house","Total",
"SA4",
"206",32637,40590,101244,150,174617,
"207",10297,7685,7028,15,25030,
"208",24507,6856,4538,42,35946,
"209",6745,1843,2264,20,10867,
"210",4094,258,344,38,4734,
"211",2379,954,693,27,4048,
"212",12979,1964,1782,36,16753,
"213",11220,2438,3773,118,17550,
"214",5163,341,144,16,5667,
"Total",110010,62934,121803,461,295208,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
