# Percentile 10, Percentile 50, Percentile 90
0.176,0.511,0.9
0.17,0.471,0.784
0.166,0.441,0.726
0.164,0.416,0.698
0.164,0.409,0.696
0.17,0.441,0.786
0.182,0.513,0.924
0.186,0.55,1.01
0.186,0.574,1.078
0.186,0.588,1.142
0.188,0.624,1.228
0.19,0.664,1.324
0.192,0.707,1.422
0.192,0.74,1.5
0.192,0.775,1.588
0.196,0.827,1.7
0.206,0.904,1.934
0.22,0.981,2.078
0.232,1.001,2.058
0.246,0.976,1.978
0.26,0.943,1.824
0.248,0.871,1.646
0.216,0.739,1.406
0.19,0.599,1.108
