"postcode","instals","estimated_dwellings","density","capacity","capunder10","cap10_100","capover100","countunder10","count10_100","countover100","pot_kw","pot_sqm","pot_gwh"
"6156","2150","7426","28.2","9784.0","8420.0","1364.0","0.0","2093","57","0","105339.0","674,169","156.4"
"6157","1595","7021","22.3","6658.0","5923.0","735.0","0.0","1564","31","0","90027.0","576,174","134.1"
"6158","826","2783","28.8","3725.0","3244.0","481.0","0.0","801","25","0","41470.0","265,407","61.6"
"6159","243","1324","17.3","1276.0","883.0","393.0","0.0","229","14","0","22791.0","145,864","34.1"
"6160","793","3724","20.4","3567.0","2654.0","913.0","0.0","759","34","0","61233.0","391,893","90.9"
"6161","5","520","0.6","673.0","9.0","64.0","600.0","3","1","1","0.0","0","0.0"
"6162","1529","5040","29.9","5656.0","5251.0","405.0","0.0","1508","21","0","69615.0","445,533","103.4"
"6163","7858","23333","32.4","39194.0","27530.0","8994.0","2670.0","7563","282","13","511674.0","3,274,712","768.1"
"6164","11046","23425","46.4","50332.0","44688.0","4743.0","901.0","10871","174","1","481533.0","3,081,813","725.0"
"6165","40","28","","1549.0","48.0","1401.0","100.0","12","27","1","47256.0","302,439","73.0"
"6166","1642","4448","35.6","8546.0","6876.0","1570.0","100.0","1583","58","1","120534.0","771,417","181.5"
"6167","4562","11324","39.6","20031.0","16695.0","1916.0","1420.0","4487","68","7","259336.0","1,659,753","392.6"
"6168","4360","11701","36.3","16933.0","13916.0","2917.0","100.0","4248","111","1","229738.0","1,470,323","347.0"
"6169","6991","15269","45.6","25748.0","24493.0","742.0","513.0","6958","31","2","254192.0","1,626,826","377.8"
"6170","2846","6592","43.0","12823.0","12591.0","232.0","0.0","2835","11","0","79035.0","505,823","118.6"
"6171","7322","16873","43.0","31555.0","29839.0","1716.0","0.0","7257","65","0","278150.0","1,780,162","414.6"
"6172","2797","4912","56.3","11338.0","10339.0","859.0","140.0","2764","32","1","105477.0","675,055","156.9"
"6173","2308","4538","50.5","10113.0","9780.0","333.0","0.0","2292","16","0","93814.0","600,411","139.9"
"6174","851","2212","38.0","3864.0","3755.0","109.0","0.0","841","10","0","28246.0","180,774","42.0"
"6175","764","1661","45.6","3181.0","3095.0","86.0","0.0","757","7","0","29045.0","185,886","43.2"
"6176","344","760","43.7","1815.0","1619.0","196.0","0.0","332","12","0","19715.0","126,175","29.3"
"6180","1361","2708","49.8","6396.0","5530.0","177.0","689.0","1348","11","2","48224.0","308,633","71.9"
"6181","133","157","80.3","647.0","552.0","95.0","0.0","126","7","0","8986.0","57,511","13.3"
"6207","281","499","53.3","1485.0","1226.0","259.0","0.0","266","15","0","18939.0","121,208","27.0"
"6208","3213","6534","48.3","13231.0","11460.0","1466.0","305.0","3157","54","2","148840.0","952,576","222.5"
"6209","416","943","43.3","1624.0","1521.0","103.0","0.0","408","8","0","30697.0","196,460","45.5"
"6210","15833","37183","42.0","60005.0","54757.0","4808.0","440.0","15632","198","3","615278.0","3,937,781","916.7"
"6211","1912","4126","45.9","8023.0","7560.0","463.0","0.0","1892","20","0","79471.0","508,616","118.3"
"6213","140","404","33.7","623.0","531.0","92.0","0.0","136","4","0","12451.0","79,686","17.7"
"6214","133","273","46.2","570.0","471.0","99.0","0.0","126","7","0","13600.0","87,042","20.2"
"6215","811","2056","38.5","3770.0","3203.0","567.0","0.0","792","19","0","73421.0","469,894","105.1"
"6218","114","192","56.2","483.0","409.0","74.0","0.0","108","6","0","10020.0","64,130","14.3"
"6220","816","2326","33.2","4707.0","3108.0","1002.0","597.0","773","40","3","70320.0","450,049","100.0"
"6221","44","116","31.0","262.0","141.0","121.0","0.0","36","8","0","7431.0","47,555","10.8"
"6223","29","100","29.0","136.0","136.0","0.0","0.0","29","0","0","4799.0","30,714","7.0"
"6224","193","496","36.5","1123.0","723.0","400.0","0.0","181","12","0","16760.0","107,265","24.5"
"6225","1519","4331","34.2","6083.0","5170.0","913.0","0.0","1483","36","0","141665.0","906,653","207.4"
"6226","194","310","62.3","905.0","892.0","13.0","0.0","193","1","0","10697.0","68,462","15.6"
"6227","158","339","46.3","639.0","627.0","12.0","0.0","157","1","0","9281.0","59,397","13.5"
"6228","27","73","35.6","141.0","110.0","31.0","0.0","26","1","0","5121.0","32,776","7.5"
"6229","37","142","12.7","621.0","93.0","528.0","0.0","18","19","0","24337.0","155,757","36.6"
